bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
Itility,itility.nl,geraden en bevestigd,Technical Content Specialist,2026-09-16,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/technical-content-specialist-at-itility-4449007948,content specialist webshop,ok,woocommerce,,2,hubspot,,ja,,0,api[- ]documen,,5657 EW,+31880046100,,,,,,geen score gevonden,,,
Joybuy,joybuy.nl,geraden en bevestigd,Category Manager-3C,2026-08-31,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/category-manager-3c-at-joybuy-4459217559,webshop beheerder,ok,,,,zendesk,,ja,,4,veiling,,1071CJ,,,,,,,geen score gevonden,,,
MARC INBANE® Official,marcinbane.com,geraden en bevestigd,E-commerce Manager,2026-08-24,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-marc-inbane-b-v-4456893823,webshop beheerder,ok,,,,,trustpilot,ja,ja,3,,55513603,5048 AA,0031138897150,,,,,,geen score gevonden,trustpilot,,
MOLANO,molano.nl,geraden en bevestigd,Magazijnmedewerker,2026-09-21,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-molano-4469906009,logistiek medewerker webshop,ok,woocommerce,,4,,,ja,,0,,,,,,,,,,geen score gevonden,,,
O My Bag Amsterdam,omybagamsterdam.com,geraden en bevestigd,Operations Lead,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-o-my-bag-amsterdam-4464991556,webshop beheerder,ok,shopify,519,9,,judgeme|yotpo,ja,,3,,69094527,1072 GA,,,,,,,site onbereikbaar,,,
one2track B.V.,one2track.nl,geraden en bevestigd,Digital Marketeer Duitsland,2026-09-22,Noordwijkerhout,1,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-duitsland-at-one2track-b-v-4470416560,online marketeer webshop,ok,,,2,,kiyoh,ja,,2,,75199335,2211 JT,+31252503737,,,9.2,10,2331,schema.org,kiyoh,https://www.one2track.nl,sterk
Outdoor Gigant,outdoorgigant.nl,geraden en bevestigd,SEO &amp; Performance Marketeer (fulltime),2026-09-01,Nijverdal,1,nee,https://nl.linkedin.com/jobs/view/seo-performance-marketeer-fulltime-at-outdoor-gigant-4459541838,online marketeer webshop,ok,woocommerce,,,,,ja,,2,,71297839,7442 PC,0548209022,,,4.7,5,,zichtbaar op de pagina,,https://outdoorgigant.nl,sterk
ParfumWebshop,parfumwebshop.nl,geraden en bevestigd,CRM &amp; Campagne Specialist (26–30 uur),2026-09-01,Nieuw-Vennep,1,nee,https://nl.linkedin.com/jobs/view/crm-campagne-specialist-26%E2%80%9330-uur-at-parfumwebshop-4462001872,webshop beheerder,ok,magento,,,,trustpilot,ja,,3,,,,,,,4.9,5,19324,schema.org,trustpilot,https://parfumwebshop.nl,sterk
Proforto®,proforto.nl,geraden en bevestigd,Logistiek Medewerker bij Proforto,2026-06-23,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-bij-proforto-at-proforto%C2%AE-4431235377,logistiek medewerker webshop,ok,magento,,3,trengo|whatsapp,trustpilot|yotpo,ja,,4,,62922351,6541CW,0031248082166,,,,,,geen score gevonden,trustpilot|yotpo,,
Schoonderwoerd Vlees,schoonderwoerdvlees.nl,geraden en bevestigd,Magazijnmedewerker,2024-12-05,De Bilt,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-schoonderwoerd-vlees-4091409238,orderverwerking,ok,woocommerce,,4,,,ja,,0,,,3721 TK,0031302202143,,,,,,geen score gevonden,,,
Schoot verhuur & events bv,schootverhuur.nl,geraden en bevestigd,fulltime magazijnmedewerker,2026-07-21,Budel-Schoot,1,nee,https://nl.linkedin.com/jobs/view/fulltime-magazijnmedewerker-at-schoot-verhuur-events-bv-4442601612,orderverwerking,ok,,,,,,ja,,2,,,3815 KL,+31334324007,,,,,,geen score gevonden,,,
Shop4trac,shop4trac.com,geraden en bevestigd,Stage Marketing / Content / Social Media,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/stage-marketing-content-social-media-at-shop4trac-4462066724,content specialist webshop,ok,woocommerce,,8,intercom,feedbackcompany,ja,,3,,72200987,1502RD,+310850601485,,,9.2,10,,zichtbaar op de pagina,feedbackcompany|google,https://shop4trac.com/over-ons/,sterk
Snowcountry,snowcountry.nl,geraden en bevestigd,Logistiek Medewerker - Fulltime in Amersfoort,2026-07-24,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-fulltime-in-amersfoort-at-snowcountry-4444924601,logistiek medewerker webshop,ok,magento,,21,zendesk,trustpilot,ja,,3,,,,,,,,,,geen score gevonden,trustpilot,,
Studio Noos,studionoos.com,geraden en bevestigd,Performance Marketeer,2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-at-studio-noos-4468611419,online marketeer webshop,ok,shopify,552,15,hubspot,trustpilot|yotpo,ja,,2,api[- ]documen,,,,,,,,,geen score gevonden,trustpilot|yotpo,,
Superyoga,superyoga.nl,geraden en bevestigd,Social Media &amp; Performance Marketeer,2026-09-01,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/social-media-performance-marketeer-at-superyoga-4461705564,online marketeer webshop,ok,,,,chatgpt-bot,kiyoh|yotpo|klantenvertellen,ja,,4,api[- ]documen,95427309,1181NB,,,,9.6,10,7895,schema.org,kiyoh|klantenvertellen|yotpo,https://www.superyoga.nl,sterk
terStal,terstal.nl,geraden en bevestigd,E-Commerce Manager,2026-07-30,Almelo,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-terstal-4447081089,webshop beheerder,ok,magento,,,,,ja,,0,,,,,,,,,,geen score gevonden,,,
Vedder & Vedder,vedder-vedder.nl,geraden en bevestigd,E-Commerce Merchandiser,2026-09-20,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-merchandiser-at-vedder-vedder-4467318309,webshop beheerder,ok,shopify,,4,,trustedshops,ja,,0,,,,,,,,,,geen score gevonden,trustedshops,,
VELORETTI,veloretti.com,geraden en bevestigd,Product Owner Core Systems,2026-07-22,Amsterdam,3,ja,https://nl.linkedin.com/jobs/view/product-owner-core-systems-at-veloretti-4443115017,orderverwerking,ok,shopify,,,,,ja,,1,,,,,,,,,,geen score gevonden,,,
Voomy,voomy.com,geraden en bevestigd,E-commerce manager,2026-07-30,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-voomy-4447036033,webshop beheerder,ok,shopify,133,,,judgeme|trustedshops,ja,,4,,,,,,,,,,site onbereikbaar,,,
