bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
Bloom & Wolf,bloomwolf.nl,geraden en bevestigd,🌸 VACATURE: House-of-Rituals medewerker bij Bloom &amp; Wolf,2026-07-06,Randstad,1,nee,https://nl.linkedin.com/jobs/view/%F0%9F%8C%B8-vacature-house-of-rituals-medewerker-bij-bloom-wolf-at-bloom-wolf-4437410088,webshop medewerker,ok,,,,gorgias,trustpilot,,,2,,,,,,
bloomon,bloomon.nl,geraden en bevestigd,Customer Support Senior Associate (Dutch or German Speaking),2026-09-15,Amsterdam Area,1,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,klantenservice medewerker,ok,,,,,trustpilot,,,1,,,,,,
Booking Boosters,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-16,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,customer happiness,ok,,,5,hubspot,,,,0,api[- ]documen,,,,,ja
Booking Experts,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-17,Enschede,4,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,customer happiness,ok,,,5,hubspot,,,,0,api[- ]documen,,,,,ja
BOSKA Food Tools,boska.com,geraden en bevestigd,Medewerker klantenservice,2026-09-14,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,e-commerce medewerker,ok,shopify,379,5,,judgeme,ja,,1,,,,,,ja
BridgeFund,bridgefund.nl,geraden en bevestigd,Customer Service Representative,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-bridgefund-4445916609,klantenservice medewerker,ok,,,,hubspot,trustpilot,,,0,,70304580,1079 LK,+31854016600,,ja
Brighteq,brighteq.nl,geraden en bevestigd,Medior frontend developer,2026-08-01,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/medior-frontend-developer-at-brighteq-4447616074,webshop medewerker,ok,,,,,,,,0,,,3528 BJ,+31202616971,,
Brightways - Marketplace Accelerators,brightways.nl,geraden en bevestigd,Marketplace Manager Amazon &amp; Bol Focused - Client Facing,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-amazon-bol-focused-client-facing-at-brightways-marketplace-accelerators-4464543208,e-commerce medewerker,ok,,,,whatsapp,,,ja,0,,,3013 AK,+31851308576,,
Brivo,brivo.com,geraden en bevestigd,Customer Care Receptionist,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-care-receptionist-at-brivo-4466671816,customer service,ok,,,7,intercom,,,,0,demo aanvragen,,,+15124730500,,
Brocacef,brocacef.nl,geraden en bevestigd,Medewerker contact en support,2026-09-14,Maarssen,3,nee,https://nl.linkedin.com/jobs/view/medewerker-contact-en-support-at-brocacef-4376576436,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
Brother International (Nederland) BV,brother.nl,geraden en bevestigd,Medewerker Sales Support,2026-09-10,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-sales-support-at-brother-international-nederland-bv-4465818043,orderverwerking medewerker,ok,,,,,,,,0,,,,,,ja
Bruynzeel Keukens,bruynzeelkeukens.nl,geraden en bevestigd,Klantbegeleider Retail,2026-09-15,Bergen op Zoom,3,nee,https://nl.linkedin.com/jobs/view/klantbegeleider-retail-at-bruynzeel-keukens-4458070511,customer happiness,ok,,,,,trustpilot,,,0,,,4622 RC,+31164285000,,
BTE Nederland B.V.,bte.nl,geraden en bevestigd,Medewerker Verkoop Binnendienst,2026-09-01,Heumen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-binnendienst-at-bte-nederland-b-v-4460632832,orderverwerking medewerker,ok,,,3,hubspot,,,,0,api[- ]documen,11005817,6669 CB,+310488417191,,
Bugaboo Group,bugaboo.com,geraden en bevestigd,Growth Content &amp; Product Data Specialist,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-content-product-data-specialist-at-bugaboo-group-4466683442,webcare medewerker,ok,,,39,,trustpilot,,,1,,,,,,
Burger Support BV,burgersupport.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-17,Lelystad,3,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-burger-support-bv-4468602778,klantenservice medewerker,ok,,,,whatsapp,,,,0,api[- ]documen,63433575,8232 WJ,,,ja
BUX,bux.nl,geraden en bevestigd,Customer Support Representative (deutschsprachig),2026-09-08,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-deutschsprachig-at-bux-4463286894,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
BYZZ,byzz.nl,geraden en bevestigd,Commercieel Medewerker binnendienst (jr),2026-08-31,Leusden,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-jr-at-byzz-4461066818,orderverwerking medewerker,ok,,,,,,,,0,,74433733,3871 KM,0640191405,,
Cabau Lifestyle,cabaulifestyle.com,geraden en bevestigd,CRO Specialist,2026-08-21,Arnhem,1,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,webcare medewerker,ok,shopify,102,6,gorgias,trustpilot|loox|yotpo,ja,,2,api[- ]documen,,6842 CT,,,
Cable Partners B.V.,cablepartners.nl,geraden en bevestigd,Ervaren medewerker verkoop binnendienst,2026-08-04,Roosendaal,1,nee,https://nl.linkedin.com/jobs/view/ervaren-medewerker-verkoop-binnendienst-at-cable-partners-b-v-4448300405,orderverwerking medewerker,ok,magento,,,,,ja,ja,0,,24255726,4704 SV,+31165523000,,
Cadmes,cadmes.com,geraden en bevestigd,Senior Customer Care medewerker,2026-09-21,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/senior-customer-care-medewerker-at-cadmes-4366756757,klantadviseur,ok,,,3,hubspot,,,,0,api[- ]documen,,,,,ja
Camfil Nederland,camfil.com,geraden en bevestigd,E-Commerce &amp; Digital Operations Specialist,2026-09-22,Ede,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-digital-operations-specialist-at-camfil-nederland-4468577637,e-commerce medewerker,ok,,,,,,,,0,,,,+31 318 633 346,,
Capgemini,capgemini.com,geraden en bevestigd,Frontend Developer - NL,2026-06-03,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/frontend-developer-nl-at-capgemini-4418513610,webcare medewerker,ok,,,38,,,,,0,,,,,,
Cardano,cardano.nl,geraden en bevestigd,Digital Marketing Coordinator,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/digital-marketing-coordinator-at-cardano-4463379096,webcare medewerker,ok,,,2,,,,,0,veiling,,3012 CN,+31(0)102061300,,
Cartouche Fashion,cartouchefashion.com,geraden en bevestigd,E-commerce &amp; Social Media Specialist Cartouche Fashion,2026-09-09,Bodegraven,1,nee,,e-commerce medewerker,ok,shopify,300,8,,,ja,,3,,,,,,
CAVALLARO NAPOLI,cavallaronapoli.com,geraden en bevestigd,Online Merchandiser,2026-09-08,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/online-merchandiser-at-cavallaro-napoli-4452705820,e-commerce medewerker,ok,magento,,5,intercom|whatsapp,trustedshops,ja,,4,,,1071 BM,+31233030369,,
CDA,cda.nl,geraden en bevestigd,Digital marketeer,2026-09-18,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-at-cda-4251674255,webcare medewerker,ok,,,,,,,,0,,,2512 XA,,,
Cedrah,cedrah.nl,geraden en bevestigd,Senior medewerker ICT,2026-08-04,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-ict-at-cedrah-4447372315,webcare medewerker,ok,,,,,,,,0,,,2992 XC,0885870050,,
Cegeka,cegeka.com,geraden en bevestigd,Onsite Support,2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/onsite-support-at-cegeka-4465913004,webcare medewerker,ok,,,14,hubspot,,,,0,,,0095BB,,,
Cemex B.V.,cemex.com,geraden en bevestigd,Commercieel medewerker,2026-09-19,Bleiswijk,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-at-cemex-b-v-4464548001,orderverwerking medewerker,ok,,,3,,,,,0,,,0090FC,,,
CGI Nederland,cgi.com,geraden en bevestigd,On Site Support Specialist - Global Technology Operations,2026-09-05,Schaijk,1,nee,https://nl.linkedin.com/jobs/view/on-site-support-specialist-global-technology-operations-at-cgi-nederland-4445232652,webcare medewerker,ok,,,3,,,,,0,,,,,,ja
Chane,shopswellophonic.com,geraden en bevestigd,IT Service Desk Medewerker,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,webcare medewerker,ok,shopify,995,,,,ja,,0,,,,,,ja
Change,change.nl,geraden en bevestigd,Klantenservice medewerker E-commerce Frans/Vlaams - Change,2026-09-10,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-e-commerce-frans-vlaams-change-at-change-4462959103,e-commerce medewerker,ok,,,,,,,,0,,,2291 AK,,,ja
ChannelEngine,channelengine.com,geraden en bevestigd,Implementation Specialist,2026-08-24,Leiden,1,nee,https://nl.linkedin.com/jobs/view/implementation-specialist-at-channelengine-4455857973,e-commerce medewerker,ok,,,5,hubspot,,,,0,api[- ]documen,,,,,
ChannelMojo,channelmojo.com,geraden en bevestigd,Marketplaces Specialist,2026-07-27,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/marketplaces-specialist-at-channelmojo-4442829773,e-commerce medewerker,ok,,,,,,,,1,onze dienstver,90198107,1096 AH,085-0805937,,
