bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,kvk,postcode,telefoon,reviewaantal
Alpina Group,alpina.com,geraden en bevestigd,Klantcontact medewerker,2026-09-01,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-at-alpina-group-4460258610,klantenservice medewerker,ok,magento,,,whatsapp,,ja,,,,,
Amdax,amdax.com,geraden en bevestigd,Customer Success Coordinator,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-amdax-4465011695,customer happiness,ok,,,3,hubspot,,,,74458477,1082 MS,+31-88-26329-00,
Amega,amega.nl,geraden en bevestigd,Service &amp; support medewerker Inbound,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/service-support-medewerker-inbound-at-amega-4468720965,klantenservice medewerker,ok,,,,,,,,,3316 AK,078-6321370,
American Express,americanexpress.com,geraden en bevestigd,American Express - Centurion Lounge Ambassador,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/american-express-centurion-lounge-ambassador-at-american-express-4463531151,customer happiness,ok,,,,,,,,,,,
Aon,aon.com,geraden en bevestigd,Junior Website Specialist,2026-09-19,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/junior-website-specialist-at-aon-4458595737,webcare medewerker,ok,,,,,,,,,,,
ASAPCLOUD,asapcloud.com,geraden en bevestigd,Customer Success Manager,2026-09-21,Houten,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asapcloud-4467603330,customer happiness,ok,,,,,,,,,3992 LS,+31(0)348,
Ascom,ascom.com,geraden en bevestigd,First Line Support Engineer,2026-08-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/first-line-support-engineer-at-ascom-4454455600,webcare medewerker,ok,,,36,,,,,,3528 BD,+41 41 544 78 12,
Asendia,asendiabenelux.com,geraden en bevestigd,Customer Success Manager,2026-08-25,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asendia-4457491307,customer happiness,ok,,,,hubspot,,,,,,,
Atlassian,atlassian.com,geraden en bevestigd,"Principal Customer Success Manager, Strategic DACH",2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/principal-customer-success-manager-strategic-dach-at-atlassian-4451509548,customer happiness,ok,,,,,,,,,0052CC,61292621443,
Atos Medical,atosmedical.nl,geraden en bevestigd,Consumer Care Specialist,2026-09-19,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/consumer-care-specialist-at-atos-medical-4440770846,customer happiness,ok,,,,chatgpt-bot,,ja,,,,,
Audax Nederland,audax.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-08,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-audax-netherlands-4440551063,klantenservice medewerker,ok,woocommerce,,,,,ja,ja,,5126 ZH,,
Autodistribution Nederland,autodistribution.nl,geraden en bevestigd,Customer Support Medewerker,2026-08-31,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-autodistribution-nederland-4450612001,klantenservice medewerker,ok,,,,,,,,,,,
Autoflex Automotive Software,autoflex.nl,geraden en bevestigd,Medewerker Klantenservice &amp; Support,2026-09-14,Putten,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-support-at-autoflex-4467070838,klantenservice medewerker,ok,,,,whatsapp,,,,,3881 SH,+31341375180,
Axians NL,axians.nl,geraden en bevestigd,Customer Care Specialist,2026-09-10,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-axians-nl-4456487800,klantenservice medewerker,ok,,,,hubspot,,,,,1863DC,,
AxionContinu,axioncontinu.nl,geraden en bevestigd,Medewerker ICT-Servicedesk,2026-08-25,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-ict-servicedesk-at-axioncontinu-4466945841,webcare medewerker,ok,,,,,,,,,3526 KJ,0302822277,
Axivate Horeca Group,axivatehoreca.nl,geraden en bevestigd,Medewerker Bediening (Nieuw concept),2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-nieuw-concept-at-axivate-horeca-group-4469115573,webcare medewerker,ok,woocommerce,,,,,ja,,,3511 BJ,+31850472050,
Bax Music,bax-shop.com,geraden en bevestigd,Telefoonmedewerker Winkel Apeldoorn,2026-08-18,Apeldoorn,3,nee,https://nl.linkedin.com/jobs/view/telefoonmedewerker-winkel-apeldoorn-at-bax-music-4454484385,klantenservice medewerker,ok,,,,,,,,,,,
Bedrijfsfitness Nederland,bedrijfsfitness.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,klantenservice medewerker,ok,woocommerce,,,,,ja,,27125012,7938 TD,,
Bergman Clinics,bergmanclinics.nl,geraden en bevestigd,CSA Medewerker,2026-09-07,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/csa-medewerker-at-bergman-clinics-4464325862,webcare medewerker,ok,,,,,,,,,,,
Billink,billink.nl,geraden en bevestigd,Customer Success Manager,2026-08-18,Gouda,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-billink-4455757456,customer happiness,ok,,,9,trengo|whatsapp,trustpilot,,,24474894,3072 AP,+31104141473,
Bizzdesign,bizzdesign.com,geraden en bevestigd,Senior Customer Success Manager,2026-09-09,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-customer-success-manager-at-bizzdesign-4463808925,customer happiness,ok,,,5,,loox,,,,,,
Bloom & Wild,bloomwild.com,geraden en bevestigd,Customer Delight Talent Pool,2026-09-13,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-delight-talent-pool-at-bloom-wild-4466735976,klantenservice medewerker,ok,,,,,,,,,,,
bloomon,bloomon.nl,geraden en bevestigd,Customer Support Senior Associate (Dutch or German Speaking),2026-09-15,Amsterdam Area,1,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,klantenservice medewerker,ok,,,,,trustpilot,,,,,,
Booking Boosters,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-16,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,customer happiness,ok,,,5,hubspot,,,,,,,
Booking Experts,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-17,Enschede,4,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,customer happiness,ok,,,5,hubspot,,,,,,,
BridgeFund,bridgefund.nl,geraden en bevestigd,Customer Service Representative,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-bridgefund-4445916609,klantenservice medewerker,ok,,,,hubspot,trustpilot,,,70304580,1079 LK,+31854016600,
Brocacef,brocacef.nl,geraden en bevestigd,Medewerker contact en support,2026-09-14,Maarssen,3,nee,https://nl.linkedin.com/jobs/view/medewerker-contact-en-support-at-brocacef-4376576436,klantenservice medewerker,ok,,,,,,,,,,,
Bruynzeel Keukens,bruynzeelkeukens.nl,geraden en bevestigd,Klantbegeleider Retail,2026-09-15,Bergen op Zoom,1,nee,https://nl.linkedin.com/jobs/view/klantbegeleider-retail-at-bruynzeel-keukens-4458070511,customer happiness,ok,,,,,trustpilot,,,,4622 RC,+31164285000,
Bugaboo Group,bugaboo.com,geraden en bevestigd,Growth Content &amp; Product Data Specialist,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-content-product-data-specialist-at-bugaboo-group-4466683442,webcare medewerker,ok,,,39,,trustpilot,ja,,,,,
Burger Support BV,burgersupport.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-17,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-burger-support-bv-4468602778,klantenservice medewerker,ok,,,,whatsapp,,,,63433575,8232 WJ,,
BUX,bux.nl,geraden en bevestigd,Customer Support Representative (deutschsprachig),2026-09-08,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-deutschsprachig-at-bux-4463286894,klantenservice medewerker,ok,,,,,,,,,,,
Cabau Lifestyle,cabaulifestyle.com,geraden en bevestigd,CRO Specialist,2026-08-21,Arnhem,1,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,webcare medewerker,ok,shopify,102,6,gorgias,trustpilot|loox|yotpo,ja,,,6842 CT,,
Capgemini,capgemini.com,geraden en bevestigd,Frontend Developer - NL,2026-06-03,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/frontend-developer-nl-at-capgemini-4418513610,webcare medewerker,ok,,,38,,,,,,,,
Cardano,cardano.nl,geraden en bevestigd,Digital Marketing Coordinator,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/digital-marketing-coordinator-at-cardano-4463379096,webcare medewerker,ok,,,2,,,,,,3012 CN,+31(0)102061300,
CDA,cda.nl,geraden en bevestigd,Digital marketeer,2026-09-18,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-at-cda-4251674255,webcare medewerker,ok,,,,,,,,,2512 XA,,
Cedrah,cedrah.nl,geraden en bevestigd,Senior medewerker ICT,2026-08-04,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-ict-at-cedrah-4447372315,webcare medewerker,ok,,,,,,,,,2992 XC,0885870050,
Cegeka,cegeka.com,geraden en bevestigd,Onsite Support,2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/onsite-support-at-cegeka-4465913004,webcare medewerker,ok,,,14,hubspot,,,,,0095BB,,
CGI Nederland,cgi.com,geraden en bevestigd,On Site Support Specialist - Global Technology Operations,2026-09-05,Schaijk,1,nee,https://nl.linkedin.com/jobs/view/on-site-support-specialist-global-technology-operations-at-cgi-nederland-4445232652,webcare medewerker,ok,,,3,,,,,,,,
Chane,shopswellophonic.com,geraden en bevestigd,IT Service Desk Medewerker,2026-09-04,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/it-service-desk-medewerker-at-chane-4429332633,webcare medewerker,ok,shopify,995,,,,ja,,,,,
Check Point Software,checkpoint.com,geraden en bevestigd,Customer Success Manager,2026-09-21,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-check-point-software-4442515867,customer happiness,ok,,,18,chatgpt-bot,,,,,,1-866-488-6691,
ChipSoft Nederland,chipsoft.com,geraden en bevestigd,Growth Marketeer,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-chipsoft-nederland-4448895867,webcare medewerker,ok,,,,,,,,,1043 DP,,
CIMSOLUTIONS,cimsolutions.nl,geraden en bevestigd,Front-end Developer,2026-09-22,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-cimsolutions-4468540428,webcare medewerker,ok,,,,,,,,,4131 NM,0347368100,
Cleve & Zonen,cleve.nl,geraden en bevestigd,Customer Service Medewerker,2026-08-21,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-cleve-zonen-4457524926,klantenservice medewerker,ok,,,2,,,,,,3088 EB,+310104284600,
Cleverbase,cleverbase.com,geraden en bevestigd,Front Desk Employee,2026-07-23,Den Haag,3,nee,https://nl.linkedin.com/jobs/view/front-desk-employee-at-cleverbase-4444435854,webcare medewerker,ok,,,,,,,,,,,
Cloudpillo,cloudpillo.com,geraden en bevestigd,Klantenservice Medewerker - Duits / Engels,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-duits-engels-at-cloudpillo-4446056309,klantenservice medewerker,ok,shopify,19,12,gorgias,trustpilot|trustedshops,ja,,,5232 BX,,
ClubCollect,clubcollect.com,geraden en bevestigd,Customer Support Representative,2025-10-26,Assen,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-clubcollect-4317637159,klantenservice medewerker,ok,,,5,,,,,57468907,9401 PL,+31857606666,
Colosseum Dental Benelux,colosseumdental.nl,geraden en bevestigd,Baliemedewerker,2026-02-24,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-at-colosseum-dental-benelux-4376438027,webcare medewerker,ok,,,,,,,,,4822 NH,0162-482870,
Commaxx Group,commaxxgroup.com,geraden en bevestigd,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,webcare medewerker,ok,shopify,,4,,,ja,,,6466 NG,,
CompuGroup Medical SE & Co. KGaA,cgm.com,geraden en bevestigd,L1 Support Professional,2026-09-02,Echt,1,nee,https://nl.linkedin.com/jobs/view/l1-support-professional-at-compugroup-medical-se-co-kgaa-4415662858,webcare medewerker,ok,,,21,,,,,,,088-3876433,
Concentrix,concentrix.com,geraden en bevestigd,Klantenservicemedewerker BMW Customer Service - Rijswijk,2026-09-07,Rijswijk,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-bmw-customer-service-rijswijk-at-concentrix-4462215965,klantenservice medewerker,ok,,,16,,,,,,,,
CowManager,cowmanager.nl,geraden en bevestigd,Full stack-ontwikkelaar,2026-09-18,Harmelen,1,nee,https://nl.linkedin.com/jobs/view/full-stack-ontwikkelaar-at-cowmanager-4467829869,webcare medewerker,ok,,,,,,,,59285273,3481 LT,+31(0)348443840,
Cqure,cqure.nl,geraden en bevestigd,Junior SOC Analist,2026-09-18,"Flevoland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/junior-soc-analist-at-cqure-4466689593,webcare medewerker,ok,,,,whatsapp|chatgpt-bot,,,,96964553,1083 HJ,+31203695428,
Currentt,currentt.nl,geraden en bevestigd,Technical Support &amp; Customer Success Manager,2026-07-20,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/technical-support-customer-success-manager-at-currentt-4442781365,customer happiness,ok,,,,hubspot,,,,,,,
CWS Hygiene Nederland,cws.com,geraden en bevestigd,Medewerker customer care | 32-40 uur,2026-08-28,Den Bosch,2,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-32-40-uur-at-cws-hygiene-nederland-4460301689,klantenservice medewerker,ok,,,,,,,ja,,,+318002300371,
DataSnipper,datasnipper.com,geraden en bevestigd,Strategic Customer Success Manager,2026-09-16,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/strategic-customer-success-manager-at-datasnipper-4467963733,customer happiness,ok,,,,chatgpt-bot,,,,,,,
de Bijenkorf,de-bijenkorf.nl,geraden en bevestigd,Senior Medewerker Klantenservice,2026-09-21,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-klantenservice-at-de-bijenkorf-4433891476,klantenservice medewerker,ok,,,,,,,,,3974BE,075 - 201 0121,
De Haan IT,dehaanit.com,geraden en bevestigd,Servicedeskmedewerker / Klantenservice medewerker ICT / Application Service Engineer,2026-09-14,Almere,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-klantenservice-medewerker-ict-application-service-engineer-at-de-haan-it-4467062948,webcare medewerker,ok,,,6,,,ja,,,1321 NN,+31 (0)36 536 41 6,
De Heer Medicom,deheermedicom.nl,geraden en bevestigd,Helpdeskmedewerker,2026-09-10,"Limburg, Nederland",1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-at-de-heer-medicom-4464505220,webcare medewerker,ok,,,,,,,,,6121 JR,0031464892550,
DeJong Cheese - Alphenaer,dejongcheese.nl,geraden en bevestigd,E-commerce Medewerker (24 uur),2026-07-28,Alphen,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-medewerker-24-uur-at-dejong-cheese-alphenaer-4446156538,webcare medewerker,ok,woocommerce,,4,hubspot,,ja,ja,18049181,5131 RC,,
Deloox,deloox.nl,geraden en bevestigd,Customer Care Medewerker,2026-06-04,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-care-medewerker-at-deloox-4420161438,klantenservice medewerker,ok,,,13,,loox,ja,,,5657 EH,,
Den Ouden,ww16.denouden.com,geraden en bevestigd,Medewerker Customer Service,2026-09-07,Schijndel,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-den-ouden-groep-4464314677,klantenservice medewerker,onbereikbaar,,,,,,,,,,,
Dentalair,dentalair.nl,geraden en bevestigd,MEDEWERKER WEBSHOP &amp; SUPPORT,2026-09-04,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-webshop-support-at-dentalair-4461970298,webcare medewerker,ok,,,,,,,,,3316 BG,,
DentalZorg Tandheelkunde,dentalzorg.nl,geraden en bevestigd,Medewerker Online Marketing,2025-12-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-online-marketing-at-dentalzorg-tandheelkunde-4324997576,webcare medewerker,ok,,,3,tawk|whatsapp,,,,,1506 AZ,+31882523800,
Deployteq,deployteq.com,geraden en bevestigd,ICT-servicedeskmedewerker,2026-09-01,Ter Heijde,1,nee,https://nl.linkedin.com/jobs/view/ict-servicedeskmedewerker-at-deployteq-4449849329,webcare medewerker,ok,magento,,3,hubspot,,ja,,,3712 BC,+31306988080,
Deponti,deponti.com,geraden en bevestigd,Customer Service Medewerker – 32-40 uur | Oss,2026-07-03,Oss,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-%E2%80%93-32-40-uur-oss-at-deponti-4433144047,klantenservice medewerker,ok,,,6,,,,ja,,5347 KN,,
DETEC Beveiliging,detec.nl,geraden en bevestigd,Klantenservice medewerker,2025-12-12,Purmerend,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-detec-beveiliging-4330525254,klantenservice medewerker,ok,,,,whatsapp,,,,,7547 PH,088-0029420,
DeWarmte,dewarmte.nl,geraden en bevestigd,Customer Experience Manager,2026-09-09,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-dewarmte-4465075329,customer happiness,ok,,,,hubspot,trustpilot,,ja,77799925,2516 AG,,
Digital Newsgroup (DNG),digitalnewsgroup.com,geraden en bevestigd,Linkbuildingspecialist,2026-08-26,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/linkbuildingspecialist-at-digital-newsgroup-bv-4459177785,webcare medewerker,ok,lightspeed,,,hubspot|chatgpt-bot,,ja,,81262906,5026 RH,+3113-7370151,
DNA Services B.V.,dnaservices.nl,geraden en bevestigd,ServiceDesk medewerker,2026-08-21,Hendrik-Ido-Ambacht,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-dna-services-b-v-4456744810,webcare medewerker,ok,,,,,,,,,3342 BM,+31786545777,
DroneShield,droneshield.com,geraden en bevestigd,Customer Success Manager - EMEA,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-emea-at-droneshield-4465784581,customer happiness,ok,,,,,,,,,,,
Dynamic People B.V. | Amsterdam | The Netherlands,dynamicpeople.nl,geraden en bevestigd,Customer Success Manager,2026-09-14,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-dynamic-people-4463877500,customer happiness,ok,,,2,,,,,,1062 HE,+31203032470,
e-Quest,equest.com,geraden en bevestigd,Servicedeskmedewerker Breedband Helmond,2026-08-04,Helmond,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-breedband-helmond-at-e-quest-4449071697,webcare medewerker,ok,,,,,,,,,1462ED,,
Eddy Grid,eddygrid.com,geraden en bevestigd,Customer Success Manager - Customer Relations,2026-09-22,"Utrecht, Nederland",2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-customer-relations-at-eddy-grid-4470261983,customer happiness,ok,,,4,hubspot,,,,,3544 AD,0031850604743,
EerstelijnsZorg Zoetermeer,eerstelijnszorgzoetermeer.nl,geraden en bevestigd,Servicedeskmedewerker ICT &amp; Facilitaire Dienstverlening (fulltime),2026-08-24,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-ict-facilitaire-dienstverlening-fulltime-at-eerstelijnszorg-zoetermeer-4455842587,webcare medewerker,ok,,,,,,,,,,0793208686,
Effectory,effectory.com,geraden en bevestigd,Customer Success Manager - Public sector,2026-09-15,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-public-sector-at-effectory-4467761203,customer happiness,ok,,,4,hubspot,,,,,1012 KR,+31203050100,
Elektrobode B.V.,elektrobode.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-08,Assen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-elektrobode-b-v-4464322167,klantenservice medewerker,ok,,,,intercom,,ja,ja,,,0511-70 02 06,
Element Logic®,elementlogic.net,geraden en bevestigd,Global Head of Customer Programs,2026-09-03,Bemmel,1,nee,https://nl.linkedin.com/jobs/view/global-head-of-customer-programs-at-element-logic%C2%AE-4463270811,customer happiness,ok,,,11,,,,ja,,,,
Elevation Partners,elevationpartners.nl,geraden en bevestigd,Manager klantsuccessen,2026-08-27,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/manager-klantsuccessen-at-elevation-partners-4459828399,customer happiness,ok,,,,hubspot,,,,,,,
ELIS,nl.elis.com,geraden en bevestigd,Customer Relations Medewerker,2026-09-17,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/customer-relations-medewerker-at-elis-4465088471,klantenservice medewerker,ok,,,1,,,,ja,,,0800 - 2373637,
Endeavour,endeavour.nl,geraden en bevestigd,Medior Allround Online Marketeer,2026-07-30,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/medior-allround-online-marketeer-at-endeavour-4446747400,webcare medewerker,ok,,,,hubspot,,,,,2011 KA,+31(0)237271077,
Energie VanOns,energie.vanons.org,geraden en bevestigd,Medewerker klantenservice,2026-09-17,"Groningen, Nederland",1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-energie-vanons-4468636614,klantenservice medewerker,ok,,,,zendesk,trustpilot,,,,,+31222760044,1.400
Equalture,equalture.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-equalture-4467736231,customer happiness,ok,woocommerce,,3,,,ja,,,3012AG,,
Equinix,equinix.com,geraden en bevestigd,Regional Customer Success Management - Enterprise,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/regional-customer-success-management-enterprise-at-equinix-4467605803,customer happiness,ok,,,,,,,,,,,
Essity,essity.com,geraden en bevestigd,Customer Facing &amp; Order Management Representative,2026-08-28,Zeist,1,nee,https://nl.linkedin.com/jobs/view/customer-facing-order-management-representative-at-essity-4458075797,klantenservice medewerker,ok,,,,,,,,,,,
Europe Cycle Company,europecycle.com,geraden en bevestigd,Klantenservice/Aftersales,2025-12-03,Aalsmeer,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-aftersales-at-europe-cycle-company-4341551459,klantenservice medewerker,ok,,,,,,,,,,,
Evers Kassasystemen bv,evers-kassasystemen.nl,geraden en bevestigd,Junior Support Medewerker,2026-08-27,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/junior-support-medewerker-at-evers-kassasystemen-bv-4457744746,webcare medewerker,ok,,,,,,ja,,,5234 GL,+31736458110,
Eye Security,eye.security,geraden en bevestigd,Customer Success Manager Netherlands (m/f/x),2026-09-01,Rotterdam and The Hague,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-netherlands-m-f-x-at-eye-security-4442097035,customer happiness,ok,,,3,hubspot,,,,,2516 AH,,
Facilicom Groep,facilicom.nl,geraden en bevestigd,Senior Digital Marketeer,2026-09-18,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/senior-digital-marketeer-at-facilicom-groep-4469172168,webcare medewerker,ok,,,1,,,,,,3115 JD,0882986000,
Farm Frites,farmfrites.com,geraden en bevestigd,Customer Service Medewerker,2026-09-19,"Zuid-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-farm-frites-4441375026,klantenservice medewerker,onbereikbaar,,,,,,,,,,,
Felix NL,felix.nl,geraden en bevestigd,Customer Service Representative Belgium &amp; Luxemburg,2026-09-20,Helmond,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-belgium-luxemburg-at-felix-nl-4468447647,klantenservice medewerker,ok,,,,,,,,,8271 GB,0383337574,
Findwhere,findwhere.com,geraden en bevestigd,Growth Marketeer,2026-09-14,Noordwijk aan Zee,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-findwhere-4467089736,webcare medewerker,ok,,,,,,,,,,,
Flokk Nederland,flokk.com,geraden en bevestigd,Customer service medewerker Benelux,2026-07-27,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-benelux-at-flokk-nederland-4445900924,klantenservice medewerker,ok,,,5,hubspot,,,,,3011 TA,,
