bedrijf,domein,domein_bron,functie,is_cs,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
Jan Zandbergen Group,janzandbergen.nl,geraden en bevestigd,Online Marketeer The Meatlovers,,2026-09-06,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-the-meatlovers-at-jan-zandbergen-group-4408501017,online marketeer webshop,ok,,,4,,,,,0,,,3903KE,+31318563563,
Joybuy,joybuy.nl,geraden en bevestigd,Category Manager-3C,,2026-08-31,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/category-manager-3c-at-joybuy-4459217559,webshop beheerder,ok,,,,zendesk,,ja,,4,veiling,,1071CJ,,
Kelvion,kelvion.com,geraden en bevestigd,Manager Order Management,ja,2026-09-17,Doetinchem,2,nee,https://nl.linkedin.com/jobs/view/manager-order-management-at-kelvion-4455758980,orderverwerking,ok,,,12,,,,,0,api[- ]documen,,,,
KickSo,kickso.nl,geraden en bevestigd,SENIOR E-COMMERCE STRATEEG,,2026-05-18,Breda,2,nee,https://nl.linkedin.com/jobs/view/senior-e-commerce-strateeg-at-kickso-4416271656,online marketeer webshop,ok,,,,whatsapp,,,,0,,,4811 AP,+31 6 18 62 71 45,
Koopman International B.V.,koopman.nl,geraden en bevestigd,Magazijnmedewerker Amsterdam,,2026-07-09,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-amsterdam-at-koopman-international-b-v-4438626771,logistiek medewerker webshop,ok,,,,,,,,0,veiling,,9351 VE,0049445291160,
Lamb Weston EMEA,lambweston.eu,geraden en bevestigd,Logistiek Medewerker,,2026-07-21,Kruiningen,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-lamb-weston-emea-4402937978,logistiek medewerker webshop,ok,,,13,,,,,0,,,4416 PJ,+31880033200,
Landal,landal.nl,geraden en bevestigd,Content Specialist,,2026-07-30,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/content-specialist-at-landal-4447061366,content specialist webshop,ok,,,10,,,,,1,,,1097 DN,,
Lead Today,leadtoday.nl,geraden en bevestigd,Content Marketeer,,2026-07-10,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/content-marketeer-at-lead-today-4438335013,content specialist webshop,ok,,,,,,,,0,,24455515,3011AG,0107955671,
Lely,lely.com,geraden en bevestigd,Manager Lely Store,,2026-09-03,Maassluis,1,nee,https://nl.linkedin.com/jobs/view/manager-lely-store-at-lely-4462897549,webshop beheerder,ok,,,,,,,,0,,,7711 EP,,
Lidl Nederland,lidl.nl,geraden en bevestigd,Orderpicker distributioncenter Almere.,,2026-09-17,Almere,11,nee,https://nl.linkedin.com/jobs/view/orderpicker-distributioncenter-almere-at-lidl-nederland-4467186332,logistiek medewerker webshop,ok,,,1,chatgpt-bot,,,,2,api[- ]documen,,0050AA,,
Loodgieters Veenstra,loodgieters-veenstra.nl,geraden en bevestigd,Vacature: SEO Specialist Tiel,,2026-09-02,Tiel,1,nee,https://nl.linkedin.com/jobs/view/vacature-seo-specialist-tiel-at-loodgieters-veenstra-4460976113,content specialist webshop,ok,,,,whatsapp,,,,0,,95533079,4004 JP,+31858009944,
Loods 5,loods5.nl,geraden en bevestigd,Magazijnmedewerker / Logistiek medewerker - Loods 5 Halfweg,,2026-07-21,Halfweg,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-logistiek-medewerker-loods-5-halfweg-at-loods-5-4440412118,logistiek medewerker webshop,ok,,,,freshdesk,,,ja,4,,,1506 SW,0886550555,
Mainfreight,mainfreight.com,geraden en bevestigd,Logistiek Team Member Warehousing - Mainfreight 's-Heerenberg,,2026-09-13,'s-Heerenberg,2,nee,https://nl.linkedin.com/jobs/view/logistiek-team-member-warehousing-mainfreight-s-heerenberg-at-mainfreight-europe-4465486363,logistiek medewerker webshop,ok,,,,,,,,0,,,,,
MARC INBANE® Official,marcinbane.com,geraden en bevestigd,E-commerce Manager,,2026-08-24,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-marc-inbane-b-v-4456893823,webshop beheerder,ok,,,,,trustpilot,ja,ja,3,,55513603,5048 AA,0031138897150,
Mastermate,mastermate.nl,geraden en bevestigd,E-commerce Manager,,2026-07-29,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-mastermate-4446581501,webshop beheerder,ok,,,,,kiyoh,,ja,2,onze dienstver,,2026 IN,0900 - 0509,2261
Mediaworx,mai.mediaworx.com,geraden en bevestigd,Digitaal Account Strateeg,,2026-07-23,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/digitaal-account-strateeg-at-mediaworx-4443468442,online marketeer webshop,ok,,,,hubspot,,,,0,,,,,
MOLANO,molano.nl,geraden en bevestigd,Magazijnmedewerker,,2026-09-21,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-molano-4469906009,logistiek medewerker webshop,ok,woocommerce,,4,,,ja,,0,,,,,
Moonpig,moonpig.com,geraden en bevestigd,Brand &amp; Campaign Marketer (Dutch &amp; English Speaking),,2026-08-19,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/brand-campaign-marketer-dutch-english-speaking-at-moonpig-4453468060,online marketeer webshop,ok,,,,intercom|hubspot,trustpilot,,,0,,,,,
Nature's Pride,naturespride.eu,geraden en bevestigd,Logistiek Medewerker Inbound,,2026-08-17,Maasdijk,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-inbound-at-nature-s-pride-4454029034,logistiek medewerker webshop,ok,,,6,,,,,0,,,2676 LV,0174525900,
Nedelko,nedelko.nl,geraden en bevestigd,Performance Marketeer (B2B),,2026-09-04,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-b2b-at-nedelko-4463318935,online marketeer webshop,ok,,,,hubspot,,,,0,,,2993LW,+31 180 64 54 00,
New Story,newstory.nl,geraden en bevestigd,Ervaren Online Marketeer,,2026-07-13,Noordwijk,1,nee,https://nl.linkedin.com/jobs/view/ervaren-online-marketeer-at-new-story-4450720658,online marketeer webshop,ok,,,2,,,,,0,api[- ]documen,,2202 CA,0031713641111,
Nodefy,nodefy.nl,geraden en bevestigd,E-commerce Marketeer,,2026-04-24,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-marketeer-at-nodefy-4406617891,online marketeer webshop,ok,,,3,hubspot,loox,,,0,,,,,
O My Bag Amsterdam,omybagamsterdam.com,geraden en bevestigd,Operations Lead,,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-o-my-bag-amsterdam-4464991556,webshop beheerder,ok,shopify,519,9,,judgeme|yotpo,ja,,3,,69094527,1072 GA,,
OKTOBER,oktober.nl,geraden en bevestigd,Email Copywriter &amp; Account Coordinator | Dutch-speaking | gn | Remote,,2026-08-24,Nederland,6,nee,https://nl.linkedin.com/jobs/view/email-copywriter-account-coordinator-dutch-speaking-gn-remote-at-oktober-4458288496,online marketeer webshop,ok,,,,tawk,,,,0,,,7324 AE,,
one2track B.V.,one2track.nl,geraden en bevestigd,Digital Marketeer Duitsland,,2026-09-22,Noordwijkerhout,1,nee,https://nl.linkedin.com/jobs/view/digital-marketeer-duitsland-at-one2track-b-v-4470416560,online marketeer webshop,ok,,,2,,kiyoh,ja,,2,,75199335,2211 JT,+31252503737,
Orange Juice,orangejuice.nl,geraden en bevestigd,Online marketeer,,2026-09-09,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-orange-juice-4463873160,online marketeer webshop,ok,,,4,,,,,0,api[- ]documen,,,,
ORTEC,ortec.com,geraden en bevestigd,"Digital Brand, Communications &amp; Performance Lead",,2026-09-08,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/digital-brand-communications-performance-lead-at-ortec-4463294597,content specialist webshop,ok,,,2,intercom|hubspot,,,ja,0,,,2719 EA,,
Outdoor Gigant,outdoorgigant.nl,geraden en bevestigd,SEO &amp; Performance Marketeer (fulltime),,2026-09-01,Nijverdal,1,nee,https://nl.linkedin.com/jobs/view/seo-performance-marketeer-fulltime-at-outdoor-gigant-4459541838,online marketeer webshop,ok,woocommerce,,,,,ja,,2,,71297839,7442 PC,0548209022,
OZ-Hami,oz-hami.nl,geraden en bevestigd,Medewerker logistiek Verdeling,,2026-09-15,Uithoorn,6,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-verdeling-at-oz-hami-4466332498,logistiek medewerker webshop,ok,,,3,,,,ja,1,veiling,,2024 OZ,+31 297 356 100,
Paperclicks,paperclicks.nl,geraden en bevestigd,Full time Online Marketeer,,2026-08-04,Best,1,nee,https://nl.linkedin.com/jobs/view/full-time-online-marketeer-at-paperclicks-4448556728,online marketeer webshop,ok,,,,,,,,0,,89914163,5684 PH,,
ParfumWebshop,parfumwebshop.nl,geraden en bevestigd,CRM &amp; Campagne Specialist (26–30 uur),,2026-09-01,Nieuw-Vennep,1,nee,https://nl.linkedin.com/jobs/view/crm-campagne-specialist-26%E2%80%9330-uur-at-parfumwebshop-4462001872,webshop beheerder,ok,magento,,,,trustpilot,ja,,3,,,,,
Payt Nederland,paytsoftware.nl:443,geraden en bevestigd,Growth Marketeer,,2026-09-17,Groningen,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-payt-nederland-4468628299,online marketeer webshop,ok,,,7,intercom|hubspot,trustpilot,,ja,0,api[- ]documen,08155915,9712 JX,31850021960,
Peple B.V.,peple.nl,geraden en bevestigd,Product Marketeer,,2026-08-27,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/product-marketeer-at-peple-b-v-4446032982,content specialist webshop,ok,,,,hubspot,,,,0,,,3821 BB,+31850299000,
Personato,personato.nl,geraden en bevestigd,Logistiek medewerker,,2026-09-14,Oostrum,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-personato-4467088156,logistiek medewerker webshop,ok,,,,hubspot,,,,0,,,5803 AP,0478630930,
Pijper Media,pijpermedia.nl,geraden en bevestigd,Redacteur / marketeer koopkompas.nl en voordeelpas.nl,,2026-06-01,Groningen,2,nee,https://nl.linkedin.com/jobs/view/redacteur-marketeer-koopkompas-nl-en-voordeelpas-nl-at-pijper-media-4418783831,content specialist webshop,ok,,,,,,,,1,api[- ]documen,,1114 AE,+31886544000,
PINK,pinkelephant.nl,geraden en bevestigd,SEO Specialist,,2026-08-23,Groningen,1,nee,https://nl.linkedin.com/jobs/view/seo-specialist-at-pink-4468391905,content specialist webshop,ok,,,4,,,,,0,,,1101 GH,,
Plato Group,plato.nl,geraden en bevestigd,CRO Specialist,,2026-08-31,Helmond,1,nee,https://nl.linkedin.com/jobs/view/cro-specialist-at-plato-group-4461064152,online marketeer webshop,ok,,,1,whatsapp,,,,2,,,,+31629168666,
PositiveDigits,positivedigits.com,geraden en bevestigd,Online marketeer,,2026-07-28,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-positivedigits-4446165779,online marketeer webshop,ok,,,,,,,,1,,,5145 RE,+31416745168,
PowerKraut,powerkraut.nl,geraden en bevestigd,Marketeer PowerKraut &amp; PowerLabs,,2026-09-08,Doetinchem,1,nee,https://nl.linkedin.com/jobs/view/marketeer-powerkraut-powerlabs-at-powerkraut-4464602600,content specialist webshop,ok,,,2,hubspot,,,,0,demo aanvragen,30262010,7007 CL,+31314362009,
Praxis,praxis.nl,geraden en bevestigd,Marketplace Platform Specialist,,2026-08-25,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketplace-platform-specialist-at-praxis-4458743287,webshop beheerder,ok,,,,,,,,0,,,0078FF,,
Prijsvrij Vakanties,prijsvrij.nl,geraden en bevestigd,SEO Content Specialist,,2026-09-02,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/seo-content-specialist-at-prijsvrij-vakanties-4462177419,content specialist webshop,ok,,,,,trustpilot,,,1,boek een kamer,,5211 RX,,
Proforto®,proforto.nl,geraden en bevestigd,Logistiek Medewerker bij Proforto,,2026-06-23,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-bij-proforto-at-proforto%C2%AE-4431235377,logistiek medewerker webshop,ok,magento,,3,trengo|whatsapp,trustpilot|yotpo,ja,,4,,62922351,6541CW,0031248082166,
Qogita,qogita.com,geraden en bevestigd,Paid Social &amp; Creative Manager,,2026-09-21,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/paid-social-creative-manager-at-qogita-4458717142,online marketeer webshop,ok,,,,,trustpilot,,ja,0,,,1018 XA,,
Qwello,qwello.nl,geraden en bevestigd,Marketing Manager,,2026-08-11,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/marketing-manager-at-qwello-4451652358,online marketeer webshop,ok,,,,hubspot,,,,0,,,3811 LA,+31202105911,
Reach Digital,reachdigital.nl,geraden en bevestigd,Digital Marketing &amp; Communicatie Specialist,,2026-08-04,Alphen aan den Rijn,1,nee,https://nl.linkedin.com/jobs/view/digital-marketing-communicatie-specialist-at-reach-digital-4449043024,online marketeer webshop,ok,,,,,,,,1,,,2408AN,+31717440084,
Ridge,ridge.nl,geraden en bevestigd,Senior Paid Media Buyer,,2026-06-05,Nederland,1,nee,https://nl.linkedin.com/jobs/view/senior-paid-media-buyer-at-ridge-4424755248,online marketeer webshop,ok,,,,,,,,0,api[- ]documen,,3905 PR,+31 318 253 780,
Rotero groep,rotero.nl,geraden en bevestigd,SEO / SEA Specialist,,2026-06-29,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/seo-sea-specialist-at-rotero-groep-4434155639,content specialist webshop,ok,,,,,,,,0,,,,,
s360,s360digital.com,geraden en bevestigd,"Manager, Digital Growth",,2026-08-27,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/manager-digital-growth-at-s360-4457768463,online marketeer webshop,ok,,,,hubspot,,,,0,api[- ]documen,,,,
Sawiday,nl.sawiday.com,geraden en bevestigd,Senior online marketeer,,2026-09-17,Rosmalen,1,nee,https://nl.linkedin.com/jobs/view/senior-online-marketeer-at-sawiday-4468642022,online marketeer webshop,ok,,,,whatsapp,,,,0,,,5248 NL,,
Schavemaker Logistics & Transport,schavemaker.com,geraden en bevestigd,Logistiek Medewerker,,2024-09-20,Moerdijk,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-schavemaker-logistics-transport-4030894997,logistiek medewerker webshop,ok,,,6,,,,,0,,,1948 ND,+31251229098,
Schoonderwoerd Vlees,schoonderwoerdvlees.nl,geraden en bevestigd,Magazijnmedewerker,,2024-12-05,De Bilt,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-schoonderwoerd-vlees-4091409238,orderverwerking,ok,woocommerce,,4,,,ja,,0,,,3721 TK,0031302202143,
Schoot verhuur & events bv,schootverhuur.nl,geraden en bevestigd,fulltime magazijnmedewerker,,2026-07-21,Budel-Schoot,1,nee,https://nl.linkedin.com/jobs/view/fulltime-magazijnmedewerker-at-schoot-verhuur-events-bv-4442601612,orderverwerking,ok,,,,,,ja,,2,,,3815 KL,+31334324007,
Sea Fresh B.V.,seafresh.nl,geraden en bevestigd,Orderpicker,,2026-03-31,Urk,1,nee,https://nl.linkedin.com/jobs/view/orderpicker-at-sea-fresh-b-v-4395867834,logistiek medewerker webshop,ok,,,,,,,ja,1,,39082907,4801FF,+31527687239,
Share Logistics,sharelogistics.com,geraden en bevestigd,Logistiek Medewerker (3208 LA Rotterdam),,2026-07-31,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-3208-la-rotterdam-at-share-logistics-4447194112,logistiek medewerker webshop,ok,,,2,,,,,0,,,2992 LA,+31105033800,
Shoeby,shoeby.nl,geraden en bevestigd,Technisch functioneel beheerder,,2026-09-10,Rosmalen,1,nee,https://nl.linkedin.com/jobs/view/technisch-functioneel-beheerder-at-shoeby-4465689661,webshop beheerder,ok,,,,,,,,3,veiling,16078843,5245 NH,,
Shop4trac,shop4trac.com,geraden en bevestigd,Stage Marketing / Content / Social Media,,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/stage-marketing-content-social-media-at-shop4trac-4462066724,content specialist webshop,ok,woocommerce,,8,intercom,feedbackcompany,ja,,3,,72200987,1502RD,+310850601485,
ShopForward,shopforward.nl,geraden en bevestigd,Senior Campaign Manager,,2026-06-18,Boxtel,4,nee,https://nl.linkedin.com/jobs/view/senior-campaign-manager-at-shopforward-4429035003,online marketeer webshop,ok,,,,,,,,2,,,5000MB,,
ShoreTension,shoretension.com,geraden en bevestigd,Logistiek Medewerker,,2026-06-05,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-shoretension-4424705930,logistiek medewerker webshop,ok,,,5,whatsapp,,,,0,,,3089 JC,+31881133090,
Siebert & Wassink,siebertwassink.nl,geraden en bevestigd,Performance Marketeer,,2026-09-10,Venlo,1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-at-siebert-wassink-4464508197,online marketeer webshop,ok,,,,hubspot,,,,0,,,7556 BN,074 - 20 20 333,
Slaapwereld B.V.,slaapwereld.nl,geraden en bevestigd,Stagiair online marketing,,2026-07-23,Woerden,1,nee,https://nl.linkedin.com/jobs/view/stagiair-online-marketing-at-slaapwereld-b-v-4444025168,online marketeer webshop,ok,,,,tawk|chatgpt-bot,,,,2,,,0097CF,0348692429,
SMS Intermediair,sms-intermediair.nl,geraden en bevestigd,Senior Order Manager Textiel (Order Processing &amp; Supply Chain),ja,2026-09-07,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/senior-order-manager-textiel-order-processing-supply-chain-at-sms-intermediair-recruitment-specialist-4451504496,orderverwerking,ok,,,,,,,,0,onze dienstver,17060244,1181 NB,(020) 404 35 00,
Snowcountry,snowcountry.nl,geraden en bevestigd,Logistiek Medewerker - Fulltime in Amersfoort,,2026-07-24,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-fulltime-in-amersfoort-at-snowcountry-4444924601,logistiek medewerker webshop,ok,magento,,21,zendesk,trustpilot,ja,,3,,,,,
SPRNT,sprnt.nl,geraden en bevestigd,Marketing Content Specialist,,2026-09-03,Genemuiden,1,nee,https://nl.linkedin.com/jobs/view/marketing-content-specialist-at-sprnt-4460482919,content specialist webshop,ok,,,,,,,,0,api[- ]documen,90719301,7722 VA,+31382022596,
Studio Noos,studionoos.com,geraden en bevestigd,Performance Marketeer,,2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-at-studio-noos-4468611419,online marketeer webshop,ok,shopify,552,15,hubspot,trustpilot|yotpo,ja,,2,api[- ]documen,,,,
Superyoga,superyoga.nl,geraden en bevestigd,Social Media &amp; Performance Marketeer,,2026-09-01,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/social-media-performance-marketeer-at-superyoga-4461705564,online marketeer webshop,ok,,,,chatgpt-bot,kiyoh|yotpo|klantenvertellen,ja,,4,api[- ]documen,95427309,1181NB,,
SV.CO,svco.nl,geraden en bevestigd,Medewerker Logistiek,,2026-08-23,De Lier,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-at-sv-co-4466272331,logistiek medewerker webshop,ok,,,6,,,,,0,,,2678 LP,+31(0)174515448,
swapwork,swapwork.nl,geraden en bevestigd,Logistiek medewerker / orderpicker dagdienst Alkmaar,ja,2026-09-16,Alkmaar,2,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-orderpicker-dagdienst-alkmaar-at-swapwork-4465989167,orderverwerking,ok,,,,,,,,0,api[- ]documen,,,0652395966,
Table du Sud,tabledusud.nl,geraden en bevestigd,Logistiek Medewerker,,2026-05-06,Heeze,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-table-du-sud-4410970419,logistiek medewerker webshop,ok,,,3,,trustpilot,,,1,,,5591RD,,
Technische Unie,technischeunie.nl,geraden en bevestigd,Customer Service Medewerker,ja,2026-09-17,Zwolle,12,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-technische-unie-4466956665,klantenservice medewerker,ok,,,,whatsapp,,,ja,3,,,,,
terStal,terstal.nl,geraden en bevestigd,E-Commerce Manager,,2026-07-30,Almelo,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-terstal-4447081089,webshop beheerder,ok,magento,,,,,ja,,0,,,,,
The Brink Agency,thebrinkagency.com,geraden en bevestigd,Marketing Content Specialist,,2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketing-content-specialist-at-the-brink-agency-4464347395,content specialist webshop,ok,,,,chatgpt-bot,,,,0,api[- ]documen,,1014 BS,+310202900505,
The Pollinators,thepollinators.org,geraden en bevestigd,Social media strateeg &amp; Content creator,,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/social-media-strateeg-content-creator-at-the-pollinators-4470414045,content specialist webshop,ok,,,,,,,,0,api[- ]documen,83849149,1032 KB,,
Think Online,think-online.nl,geraden en bevestigd,VACATURE: ONLINE MARKETEER,,2026-06-27,Breda-Tilburg Area,1,nee,https://nl.linkedin.com/jobs/view/vacature-%0Aonline-marketeer-at-think-online-4434214925,online marketeer webshop,ok,,,,,,,,0,,62139371,4814 DC,+31768883080,
Travyk - Online Marketing Bureau,travyk.nl,geraden en bevestigd,Medior online marketeer - T shaped SEA specialist,,2026-09-07,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/medior-online-marketeer-t-shaped-sea-specialist-at-travyk-online-marketing-specialisten-4464323368,online marketeer webshop,ok,,,,hubspot|chatgpt-bot,trustpilot,,,0,,,8442 CD,0513203036,
Trigon Food BV,trigon-food.nl,geraden en bevestigd,Vacature loods medewerker,,2026-07-13,Leeuwarden,1,nee,,logistiek medewerker webshop,ok,,,,whatsapp,,,,0,,,8912 BM,+31582135502,
TriplePro Online Marketing,triplepro.nl,geraden en bevestigd,SEO specialist,,2026-08-07,Groningen,1,nee,https://nl.linkedin.com/jobs/view/seo-specialist-at-triplepro-online-marketing-bv-4450353503,content specialist webshop,ok,,,,,,,,0,,,9723 DV,,
TwoBirds Company,twobirdscompany.com,geraden en bevestigd,Head of Operations bij OKTOBER,,2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/head-of-operations-bij-oktober-at-twobirds-company-4467565394,webshop beheerder,ok,,,,whatsapp,,,,0,api[- ]documen,84743077,,,
Udea BV,udea.nl,geraden en bevestigd,Magazijnmedewerker fulltime,,2026-02-23,Veghel,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-fulltime-at-udea-bv-4376590091,orderverwerking,ok,,,,,,,ja,2,,,,+31 413 256700,
Van Cranenbroek,vancranenbroek.com,geraden en bevestigd,SEO Specialist – GEO &amp; AI Search (32–40 uur) | Budel,,2026-08-13,Budel,1,nee,https://nl.linkedin.com/jobs/view/seo-specialist-%E2%80%93-geo-ai-search-32%E2%80%9340-uur-budel-at-van-cranenbroek-4454081977,content specialist webshop,ok,,,4,,,,,3,veiling,17073974,5107 NG,,
van Spreuwel Transport B.V.,vanspreuweltransport.nl,geraden en bevestigd,Magazijnmedewerker nacht,,2026-09-11,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-nacht-at-van-spreuwel-transport-b-v-4466301084,logistiek medewerker webshop,ok,,,,,,,ja,1,,,5651 GK,,
Van Tol Retail,vantolversunie.com,geraden en bevestigd,Orderpicker Diepvries,,2026-06-16,Heerhugowaard,1,nee,https://nl.linkedin.com/jobs/view/orderpicker-diepvries-at-van-tol-versunie-4429508941,orderverwerking,ok,,,,,,,,0,,29018377,2410 AB,0854820100,
Vedder & Vedder,vedder-vedder.nl,geraden en bevestigd,E-Commerce Merchandiser,,2026-09-20,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-merchandiser-at-vedder-vedder-4467318309,webshop beheerder,ok,shopify,,4,,trustedshops,ja,,0,,,,,
Veiligheidsregio Brabant-Zuidoost (VRBZO),vrbzo.nl,geraden en bevestigd,Contentspecialist,,2026-09-21,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/contentspecialist-at-veiligheidsregio-brabant-zuidoost-vrbzo-4469876096,content specialist webshop,ok,,,,,,,,0,,,5600 AE,+31402203203,
VELORETTI,veloretti.com,geraden en bevestigd,Product Owner Core Systems,,2026-07-22,Amsterdam,3,ja,https://nl.linkedin.com/jobs/view/product-owner-core-systems-at-veloretti-4443115017,orderverwerking,ok,shopify,,,,,ja,,1,,,,,
VHC Jongens BV,vhcjongensbv.nl,geraden en bevestigd,"Medewerker Expeditie, nacht",,2025-03-04,Oostzaan,3,nee,https://nl.linkedin.com/jobs/view/medewerker-expeditie-nacht-at-vhc-jongens-bv-4173615367,orderverwerking,ok,,,,,,,ja,2,,35014184,1511 JZ,0756843055,
Videojet Technologies,videojet.com,geraden en bevestigd,Orderpicker / Logistiek Medewerker (m/f/d),ja,2026-09-02,De Meern,1,nee,https://nl.linkedin.com/jobs/view/orderpicker-logistiek-medewerker-m-f-d-at-videojet-technologies-4434785939,logistiek medewerker webshop,ok,,,33,livechat,,,,0,,,1880 HR,(866)871-3226,
Vlaaibaar,vlaaibaar.nl,geraden en bevestigd,Vacature Shopify developer.,,2026-08-02,Panningen,1,nee,https://nl.linkedin.com/jobs/view/vacature-shopify-developer-at-vlaaibaar-4447651357,webshop beheerder,ok,,,,whatsapp,,,,2,,88357120,5981 CE,0641717155,
Voomy,voomy.com,geraden en bevestigd,E-commerce manager,,2026-07-30,Capelle aan den IJssel,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-voomy-4447036033,webshop beheerder,ok,shopify,133,,,judgeme|trustedshops,ja,,4,,,,,
Vos Logistics,voslogistics.com,geraden en bevestigd,Allround Warehouse Medewerker,,2026-09-15,Kerkrade,3,nee,https://nl.linkedin.com/jobs/view/allround-warehouse-medewerker-at-vos-logistics-4465515544,logistiek medewerker webshop,ok,,,6,livechat,,,,0,onze dienstver,,,0412699599,
Vos Marketing,vosmarketing.nl,geraden en bevestigd,Senior Performance Marketeer,,2026-09-07,Nederland,1,nee,https://nl.linkedin.com/jobs/view/senior-performance-marketeer-at-vos-marketing-4464359173,online marketeer webshop,ok,,,,,loox,,,0,,,,,
Wasco B.V.,wasco.nl,geraden en bevestigd,Medewerker Productmanagement,,2026-09-08,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/medewerker-productmanagement-at-wasco-4459837543,orderverwerking,ok,,,,,,,ja,0,,08055426,7418 EW,0880995000,
