bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
DogSuppy,dogsuppy.com,geraden en bevestigd,Growth Associate,2026-08-21,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/growth-associate-at-dogsuppy-4457343940,e-commerce medewerker,ok,shopify,55,3,gorgias,trustpilot,ja,,4,,,,,,,,,geen score gevonden,trustpilot,,
DYKA Group,dyka.nl,geraden en bevestigd,Baliemedewerker / Magazijnmedewerker | DYKA Eindhoven,2026-05-22,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-magazijnmedewerker-dyka-eindhoven-at-dyka-group-4414311547,orderverwerking medewerker,ok,magento,,,,,ja,,3,,,8331 LJ,0521 53 49 11,,,,,geen score gevonden,,,
Elektramat B.V.,elektramat.nl,geraden en bevestigd,Merchandiser &amp; Search specialist,2026-03-28,Enschede en omgeving,2,nee,https://nl.linkedin.com/jobs/view/merchandiser-search-specialist-at-elektramat-b-v-4392006945,e-commerce medewerker,ok,magento,,2,intercom,feedbackcompany,ja,ja,0,,,2000 SI,,,,,,geen score gevonden,feedbackcompany,,
Elektrototaalmarkt,elektrototaalmarkt.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-09,Nistelrode,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-elektrototaalmarkt-nl-4464498258,support medewerker webshop,ok,magento,,1,intercom,,ja,,2,onze dienstver,66558212,5388RT,0412-615552,,,,,geen score gevonden,,,
Euro Pizza Products,europizzaproducts.com,geraden en bevestigd,Business Support Medewerker,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/business-support-medewerker-at-euro-pizza-products-4462780476,support medewerker webshop,ok,woocommerce,,6,hubspot,,ja,ja,0,,,1185 ZR,,,,,,geen score gevonden,,,
Foxelli Group,foxelli.com,geraden en bevestigd,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,2026-07-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/email-marketing-specialist-dtc-e-commerce-100%25-remote-eu-at-foxelli-group-4447525692,e-commerce medewerker,ok,shopify,61,,,loox,ja,,0,,,,,,,,,geen score gevonden,loox,,
Fresh 'n Rebel,freshnrebel.com,geraden en bevestigd,Medewerker Commercial Backoffice Rotterdam HQ 32h-40h,2026-08-05,Rotterdam,1,ja,https://nl.linkedin.com/jobs/view/medewerker-commercial-backoffice%0Arotterdam-hq%0A32h-40h-at-fresh-n-rebel-4447308836,orderverwerking medewerker,ok,,,12,zendesk,trustpilot,ja,,0,,,,,,,,,geen score gevonden,trustpilot,,
Fresh People,freshpeople.nl,geraden en bevestigd,online merchandiser,2026-08-31,Zaandam,1,nee,https://nl.linkedin.com/jobs/view/online-merchandiser-at-fresh-people-4461205780,e-commerce medewerker,ok,woocommerce,,,,,ja,,0,,,1054 LH,+31202101827,,,,,geen score gevonden,,,
Giga Meubel,gigameubel.nl,geraden en bevestigd,Klantenservice medewerker 32-40 uur,2026-09-08,Barneveld,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,klantenservice medewerker,ok,magento,,,whatsapp,kiyoh,ja,,3,,,3824 MJ,0358796032,2612,8.6,10,2612,schema.org,kiyoh,https://www.gigameubel.nl,sterk
Goldbergh,goldbergh.com,geraden en bevestigd,Email &amp; CRM Marketeer,2026-08-27,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/email-crm-marketeer-at-goldbergh-4459803918,e-commerce medewerker,ok,shopify,249,13,gorgias,trustpilot,ja,ja,0,,,,+31 (0) 20 8513851,,,,,geen score gevonden,trustpilot,,
HabitasConnects,habitasconnects.nl,geraden en bevestigd,Senior E-commerce &amp; Marketplace Medewerker | 24-32 uur | Oud-Beijerland,2026-09-14,Oud-Beijerland,1,nee,https://nl.linkedin.com/jobs/view/senior-e-commerce-marketplace-medewerker-24-32-uur-oud-beijerland-at-habitasconnects-4465220223,e-commerce medewerker,ok,,,,,kiyoh,ja,,1,,,3261LT,0104265331,,,,,geen score gevonden,kiyoh,,
Hart Beach,hartbeach.nl,geraden en bevestigd,Website &amp; Webshop Beheerder,2026-09-19,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,webcare medewerker,ok,shopify,249,4,zendesk,kiyoh,ja,,4,,,2583 DL,31 (0) 70 350 259,,,,,geen score gevonden,kiyoh,,
Icetubs,icetubs.com,geraden en bevestigd,Webflow &amp; Shopify Developer,2026-07-13,Amsterdam-West,1,nee,https://nl.linkedin.com/jobs/view/webflow-shopify-developer-at-icetubs-4440044522,webcare medewerker,ok,,,1,hubspot|whatsapp,trustpilot,ja,,0,api[- ]documen,,,+31(0)332003091,,,,,geen score gevonden,trustpilot,,
Inktweb.nl,inktweb.nl,geraden en bevestigd,Customer Support,2026-08-07,Alkmaar,5,nee,https://nl.linkedin.com/jobs/view/customer-support-at-inktweb-nl-4450703072,klantenservice medewerker,ok,,,3,,feedbackcompany,ja,,2,,,1821 BT,+31725675055,,4.4,5,14229,schema.org,feedbackcompany,https://www.inktweb.nl,sterk
Interieurwereld van de Belt,interieurwereld.nl,geraden en bevestigd,Verkoopmedewerker diverse afdelingen,2026-09-21,Meppel,1,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-diverse-afdelingen-at-interieurwereld-van-de-belt-4468770119,webshop medewerker,ok,magento,,,whatsapp,feedbackcompany,ja,,2,,04032571,7949AR,(0522) 44 13 46,,,,,geen score gevonden,feedbackcompany,,
InVue,invue.com,geraden en bevestigd,Customer Support Specialist - German Speaking,2026-09-04,Hoofddorp,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-german-speaking-at-invue-4453255708,customer service,ok,woocommerce,,9,hubspot,,ja,,0,api[- ]documen,,,1-888-55-,,,,,geen score gevonden,,,
Jansen Totaal Wonen,jansentotaalwonen.nl,geraden en bevestigd,Orderverwerker keukens,2026-06-02,Huissen,1,nee,https://nl.linkedin.com/jobs/view/orderverwerker-keukens-at-jansen-totaal-wonen-b-v-4422362748,orderverwerking medewerker,ok,,,,whatsapp,feedbackcompany,ja,,2,veiling,09046110,6851 DG,0263269900,,,,,geen score gevonden,feedbackcompany,,
Joerns Healthcare bv,joerns.nl,geraden en bevestigd,Klantadviseur Zorghulpmiddelen,2026-09-14,Houten,3,nee,https://nl.linkedin.com/jobs/view/klantadviseur-zorghulpmiddelen-at-joerns-healthcare-bv-4467060921,klantadviseur,ok,woocommerce,,,,,ja,,1,,34263175,3991 CT,,,,,,geen score gevonden,,,
Kemkens,kemkens.nl,geraden en bevestigd,Klantadviseur,2026-07-02,Oss,1,nee,https://nl.linkedin.com/jobs/view/klantadviseur-at-kemkens-4436159337,klantadviseur,ok,woocommerce,,,chatgpt-bot,,ja,,0,,,,+310885050330,,8.4,10,30298,zichtbaar op de pagina,,https://www.kemkens.nl,gemiddeld
"Kibidango, Inc.",kibidango.com,geraden en bevestigd,ECマネージャー,2026-08-05,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/ec%E3%83%9E%E3%83%8D%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%BC-at-kibidango-inc-4447370247,e-commerce medewerker,ok,shopify,,,freshdesk,,ja,,0,,,,,,,,,geen score gevonden,,,
Knivesandtools,knivesandtools.nl,geraden en bevestigd,Klantenservice medewerker e-commerce Apeldoorn (32-40 uur),2026-07-17,Apeldoorn,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-e-commerce-apeldoorn-32-40-uur-at-knivesandtools-4441984192,klantenservice medewerker,ok,,,,,trustedshops,ja,,4,,,,,,,,,geen score gevonden,trustedshops,,
Ledhandel24.nl,ledhandel24.nl,geraden en bevestigd,Klantenservice medewerker (24 uur),2026-08-05,Ter Apel,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-24-uur-at-ledhandel24-nl-4449477460,support medewerker webshop,ok,woocommerce,,,,trustedshops,ja,,3,,,3026GS,0597-234500,,,,,geen score gevonden,trustedshops,,
LifeGoods Group,lifegoods.nl,geraden en bevestigd,Marketplace Manager Bol,2026-09-08,Almere,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-bol-at-lifegoods-group-4464466402,e-commerce medewerker,ok,shopware,,,,,ja,,1,,,,,,8.7,10,,zichtbaar op de pagina,,https://lifegoods.nl,sterk
Little Dutch,little-dutch.com,geraden en bevestigd,Digitaal ontwerper,2026-09-08,Berkel en Rodenrijs,1,nee,https://nl.linkedin.com/jobs/view/digitaal-ontwerper-at-little-dutch-4463258174,support medewerker webshop,ok,shopify,1000,27,gorgias,trustedshops,ja,,3,,,,,,,,,geen score gevonden,trustedshops,,
Maiburg,maiburg.nl,geraden en bevestigd,Online Performance Marketeer,2026-08-26,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/online-performance-marketeer-at-maiburg-4459308136,e-commerce medewerker,ok,,,,,,ja,,2,,,,0416-566566,,,,,geen score gevonden,,,
Matt Sleeps,mattsleeps.com,geraden en bevestigd,Senior Customer Support Agent,2026-07-23,Amsterdam,2,ja,https://nl.linkedin.com/jobs/view/senior-customer-support-agent-at-matt-sleeps-4444459103,e-commerce medewerker,ok,,,,intercom|klaviyo-chat,trustpilot,ja,,3,,,,0202615296,20,,,,geen score gevonden,trustpilot,,
Nieuwenhuijse Groep,nieuwenhuijse.nl,geraden en bevestigd,Medewerker Verkoopadministratie bij Nieuwenhuijse (M/V),2026-07-17,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoopadministratie-bij-nieuwenhuijse-m-v-at-nieuwenhuijse-bv-4441977615,orderverwerking medewerker,ok,woocommerce,,,,,ja,,1,api[- ]documen,,7007 CL,0314728024,,9,10,,schema.org,,https://www.nieuwenhuijse.nl,sterk
Nilfisk,nilfisk-shop.nl,geraden en bevestigd,Customer Service Employee,2026-09-05,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-nilfisk-4463724526,klantenservice medewerker,ok,woocommerce,,,,trustedshops,ja,,4,,70246920,1274 SH,+31355231705,,,,,geen score gevonden,trustedshops,,
Onlineverf.nl,onlineverf.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-11,Hengelo,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,klantenservice medewerker,ok,,,3,whatsapp,trustpilot|trustedshops,ja,,4,,,,0851120202,,,,,geen score gevonden,trustpilot|trustedshops,,
Paul Roescher,paulroescher.nl,geraden en bevestigd,Orderverwerker,2026-08-05,Rijssen,2,nee,https://nl.linkedin.com/jobs/view/orderverwerker-at-paul-roescher-4449101200,orderverwerking medewerker,ok,shopify,951,,,klantenvertellen,ja,,0,boek een kamer,,,,,,,,geen score gevonden,klantenvertellen,,
Quooker,quooker.nl,geraden en bevestigd,Information Technology Support Specialist,2026-09-16,Ridderkerk,2,nee,https://nl.linkedin.com/jobs/view/information-technology-support-specialist-at-quooker-4455729021,webcare medewerker,ok,,,,,,ja,,3,,,2984 AJ,,,,,,geen score gevonden,,,
Rotom Nederland B.V.,rotom.nl,geraden en bevestigd,Customer Service Medewerker Webshop,2026-04-07,Eerbeek,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-webshop-at-rotom-nederland-b-v-4395476141,orderverwerking medewerker,ok,magento,,,,,ja,,0,,,6699FF,+ 31 (0) 499 49101,,,,,geen score gevonden,,,
Royal Van Zanten,royalvanzanten.com,geraden en bevestigd,Commercieel Medewerker Customer Service,2026-09-09,Rijsenhout,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-customer-service-at-royal-van-zanten-4463877729,orderverwerking medewerker,ok,woocommerce,,4,,,ja,ja,2,api[- ]documen|veiling,,,,,,,,geen score gevonden,,,
Salta Group,salta.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-09,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-salta-group-4445700000,klantadviseur,ok,,,,freshdesk,trustpilot,ja,ja,4,,08156346,7651 DH,00310854877888,,,,,geen score gevonden,trustpilot,,
Sanbio B.V.,sanbio.nl,geraden en bevestigd,Medewerker Binnendienst,2026-09-10,Uden,1,nee,https://nl.linkedin.com/jobs/view/medewerker-binnendienst-at-sanbio-b-v-4465609918,orderverwerking medewerker,ok,magento,,,hubspot,,ja,,0,,,5405 PB,,,,,,geen score gevonden,,,
Satechi,satechi.com,geraden en bevestigd,Order Fulfillment Specialist,2026-08-24,Nederland,1,nee,https://nl.linkedin.com/jobs/view/order-fulfillment-specialist-at-satechi-4458531021,orderverwerking medewerker,ok,shopify,141,3,hubspot,trustpilot,ja,,0,,,,,,,,,geen score gevonden,trustpilot,,
SECRID,secrid.com,geraden en bevestigd,Logistiek Allrounder,2026-09-16,Randstad,2,nee,https://nl.linkedin.com/jobs/view/logistiek-allrounder-at-secrid-4468218180,orderverwerking medewerker,ok,,,,,,ja,,2,,,,,,,,,geen score gevonden,,,
Skil B.V.,skil.com,geraden en bevestigd,E-Commerce Specialist (EMEA),2026-09-04,Breda-Tilburg Area,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-emea-at-skil-b-v-4461166211,e-commerce medewerker,ok,shopify,521,4,,,ja,,1,,,,,,,,,geen score gevonden,,,
SRS,srs.nl,geraden en bevestigd,Retail Support Agent,2025-09-29,Almere,1,nee,https://nl.linkedin.com/jobs/view/retail-support-agent-at-srs-4305383527,support medewerker webshop,ok,woocommerce,,,zendesk,,ja,,0,,,1322 CG,0365487030,,,,,geen score gevonden,,,
STOX Energy Socks,stoxenergy.com,geraden en bevestigd,Customer Service Specialist,2026-09-04,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-stox-energy-socks-4463382019,klantenservice medewerker,ok,shopify,246,23,whatsapp,trustpilot|trustedshops,ja,,0,,,1076DE,+31202600129,,,,,geen score gevonden,trustpilot|trustedshops,,
Suitsupply,suitsupply.com,geraden en bevestigd,Customer Service Specialist,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-suitsupply-4326536412,klantenservice medewerker,ok,shopify,,,whatsapp,,ja,,4,,,1079 MZ,0800 020 6227,,,,,geen score gevonden,,,
Sunware,sunware.com,geraden en bevestigd,Marketplace Specialist (32 - 40 uur),2026-09-14,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/marketplace-specialist-32-40-uur-at-sunware-4467048859,e-commerce medewerker,ok,,,5,,trustpilot,ja,,2,,18021519,5047 TR,0031135780633,,,,,geen score gevonden,trustpilot,,
Tegeltje.nl,tegeltje.nl,geraden en bevestigd,Sales medewerker B2B (24-40 uur),2026-09-18,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/sales-medewerker-b2b-24-40-uur-at-tegeltje-nl-4469197217,e-commerce medewerker,ok,woocommerce,,,helpscout,,ja,ja,2,,58276270,2411 PV,,,,,,geen score gevonden,,,
Termeer Groep,mooiedomeinnaam.nl,geraden en bevestigd,Webshopmedewerker (maandag),2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/webshopmedewerker-maandag-at-termeer-groep-4371879320,webcare medewerker,ok,,,,whatsapp,,ja,,0,onze dienstver,,3353HC,+31888777555,,,,,site onbereikbaar,,,
Trusted Shops,trustedshops.nl,geraden en bevestigd,Customer Success Manager Benelux (f/m/d),2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-f-m-d-at-trusted-shops-4461893682,customer happiness,ok,,,12,hubspot,trustedshops,ja,,1,,,,,,,,,geen score gevonden,trustedshops,,
Van den Bosch,vandenbosch.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-03,Erp,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-van-den-bosch-4462788081,klantenservice medewerker,ok,woocommerce,,20,,,ja,ja,0,,,4191 MS,+31 345 581490,,5,5,,schema.org,,https://www.vandenbosch.nl,sterk
Van Dorp,vandorp.nl,geraden en bevestigd,Helpdeskmedewerker ICT | Nieuwegein,2026-07-10,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-ict-nieuwegein-at-van-dorp-4435990557,support medewerker webshop,ok,woocommerce,,,,,ja,,0,,,2382 NW,,,,,,geen score gevonden,,,
VERO MODA,veromoda.com,geraden en bevestigd,Verkoopmedewerker VERO MODA Zwolle,2026-06-17,Zwolle,2,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-vero-moda-zwolle-at-vero-moda-4429939849,support medewerker webshop,ok,,,43,zendesk,trustpilot,ja,,4,,,1013 AC,,,,,,geen score gevonden,trustpilot,,
ViewSonic,viewsonic.com,geraden en bevestigd,Customer Success Coordinator German,2026-09-04,Weesp,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-german-at-viewsonic-4461974451,customer happiness,ok,magento,,3,freshdesk,yotpo,ja,,0,,,,,,,,,geen score gevonden,yotpo,,
Viking Europe,viking-europe.com,geraden en bevestigd,Local Commercial Web Manager NLD,2026-09-16,Venlo,1,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-europe-4468262157,webcare medewerker,ok,magento,,,,,ja,,0,,,,+48338281830,,,,,geen score gevonden,,,
VINVIN Wines,vinvinwines.nl,geraden en bevestigd,Commercieel medewerker binnendienst,2026-09-17,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vinvin-wines-4468693688,orderverwerking medewerker,ok,,,,whatsapp,,ja,,3,,78220300,3047 BB,+31102183800,,,,,geen score gevonden,,,
Vulpes Goods,vulpesgoods.com,geraden en bevestigd,Customer Experience Specialist,2026-08-25,Bunnik,1,ja,https://nl.linkedin.com/jobs/view/customer-experience-specialist-at-vulpes-goods-4458599796,customer happiness,ok,woocommerce,,,whatsapp,trustpilot|trustedshops,ja,,4,veiling,,3981 PC,+31 85 004 1705,,,,,geen score gevonden,trustpilot|trustedshops,,
waterdrop®,waterdrop.nl,geraden en bevestigd,Sales Assistant - Hydrista (w/m/d),2026-08-28,Roermond,1,nee,https://nl.linkedin.com/jobs/view/sales-assistant-hydrista-w-m-d-at-waterdrop%C2%AE-4455346916,webshop medewerker,ok,shopify,163,41,,,ja,,3,,,7697AC,,,,,,geen score gevonden,,,
WestCord Hotels,westcordhotels.nl,geraden en bevestigd,Medewerker Bediening Fulltime,2026-09-14,Groningen,6,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-westcord-hotels-4464799747,webcare medewerker,ok,woocommerce,,4,,,ja,,0,,,,,,,,,geen score gevonden,,,
Zelesta,zelesta.nl,geraden en bevestigd,E-commerce Specialist,2026-09-21,Soesterberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-zelesta-4469874193,webcare medewerker,ok,shopify,768,27,,trustpilot|judgeme,ja,,1,,,,,,,,,geen score gevonden,trustpilot|judgeme,,
ZENGGI,zenggi.com,geraden en bevestigd,Digital Marketing Growth Specialist,2026-08-29,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/digital-marketing-growth-specialist-at-zenggi-4460856187,e-commerce medewerker,ok,shopify,425,6,,trustpilot,ja,ja,1,,,1059CL,,,,,,geen score gevonden,trustpilot,,
Zitmaxx Wonen,zitmaxx.nl,geraden en bevestigd,Photoshopper / Beeldbewerker,2026-09-15,Ter Aar,5,nee,https://nl.linkedin.com/jobs/view/photoshopper-beeldbewerker-at-zitmaxx-wonen-4467778899,webshop medewerker,ok,magento,,,tawk|whatsapp,trustpilot,ja,,3,,59200359,2461 EX,,,,,,geen score gevonden,trustpilot,,
Zorg+Welzijn,zorgwelzijn.nl,geraden en bevestigd,Huiskamer medewerker | PG,2026-07-24,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/huiskamer-medewerker-pg-at-zorg%2Bwelzijn-4444975815,webcare medewerker,ok,woocommerce,,,,,ja,,0,onze dienstver,,3584 BW,0306383736,,,,,geen score gevonden,,,
