bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
Kemkens,kemkens.nl,geraden en bevestigd,Klantadviseur,2026-07-02,Oss,1,nee,https://nl.linkedin.com/jobs/view/klantadviseur-at-kemkens-4436159337,klantadviseur,ok,woocommerce,,,chatgpt-bot,,ja,,0,,,,+310885050330,
"Kibidango, Inc.",kibidango.com,geraden en bevestigd,ECマネージャー,2026-08-05,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/ec%E3%83%9E%E3%83%8D%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%BC-at-kibidango-inc-4447370247,e-commerce medewerker,ok,shopify,,,freshdesk,,ja,,0,,,,,
Knivesandtools,knivesandtools.nl,geraden en bevestigd,Klantenservice medewerker e-commerce Apeldoorn (32-40 uur),2026-07-17,Apeldoorn,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-e-commerce-apeldoorn-32-40-uur-at-knivesandtools-4441984192,klantenservice medewerker,ok,,,,,trustedshops,ja,,4,,,,,
Ledhandel24.nl,ledhandel24.nl,geraden en bevestigd,Klantenservice medewerker (24 uur),2026-08-05,Ter Apel,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-24-uur-at-ledhandel24-nl-4449477460,support medewerker webshop,ok,woocommerce,,,,trustedshops,ja,,3,,,3026GS,0597-234500,
LifeGoods Group,lifegoods.nl,geraden en bevestigd,Marketplace Manager Bol,2026-09-08,Almere,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-bol-at-lifegoods-group-4464466402,e-commerce medewerker,ok,shopware,,,,,ja,,1,,,,,
Little Dutch,little-dutch.com,geraden en bevestigd,Digitaal ontwerper,2026-09-08,Berkel en Rodenrijs,1,nee,https://nl.linkedin.com/jobs/view/digitaal-ontwerper-at-little-dutch-4463258174,support medewerker webshop,ok,shopify,1000,27,gorgias,trustedshops,ja,,3,,,,,
Maiburg,maiburg.nl,geraden en bevestigd,Online Performance Marketeer,2026-08-26,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/online-performance-marketeer-at-maiburg-4459308136,e-commerce medewerker,ok,,,,,,ja,,2,,,,0416-566566,
Matt Sleeps,mattsleeps.com,geraden en bevestigd,Senior Customer Support Agent,2026-07-23,Amsterdam,2,ja,https://nl.linkedin.com/jobs/view/senior-customer-support-agent-at-matt-sleeps-4444459103,e-commerce medewerker,ok,,,,intercom|klaviyo-chat,trustpilot,ja,,3,,,,0202615296,20
Nieuwenhuijse Groep,nieuwenhuijse.nl,geraden en bevestigd,Medewerker Verkoopadministratie bij Nieuwenhuijse (M/V),2026-07-17,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoopadministratie-bij-nieuwenhuijse-m-v-at-nieuwenhuijse-bv-4441977615,orderverwerking medewerker,ok,woocommerce,,,,,ja,,1,api[- ]documen,,7007 CL,0314728024,
Nilfisk,nilfisk-shop.nl,geraden en bevestigd,Customer Service Employee,2026-09-05,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-nilfisk-4463724526,klantenservice medewerker,ok,woocommerce,,,,trustedshops,ja,,4,,70246920,1274 SH,+31355231705,
Onlineverf.nl,onlineverf.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-11,Hengelo,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,klantenservice medewerker,ok,,,3,whatsapp,trustpilot|trustedshops,ja,,4,,,,0851120202,
Paul Roescher,paulroescher.nl,geraden en bevestigd,Orderverwerker,2026-08-05,Rijssen,2,nee,https://nl.linkedin.com/jobs/view/orderverwerker-at-paul-roescher-4449101200,orderverwerking medewerker,ok,shopify,951,,,klantenvertellen,ja,,0,boek een kamer,,,,
Quooker,quooker.nl,geraden en bevestigd,Information Technology Support Specialist,2026-09-16,Ridderkerk,2,nee,https://nl.linkedin.com/jobs/view/information-technology-support-specialist-at-quooker-4455729021,webcare medewerker,ok,,,,,,ja,,3,,,2984 AJ,,
Rotom Nederland B.V.,rotom.nl,geraden en bevestigd,Customer Service Medewerker Webshop,2026-04-07,Eerbeek,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-webshop-at-rotom-nederland-b-v-4395476141,orderverwerking medewerker,ok,magento,,,,,ja,,0,,,6699FF,+ 31 (0) 499 49101,
Royal Van Zanten,royalvanzanten.com,geraden en bevestigd,Commercieel Medewerker Customer Service,2026-09-09,Rijsenhout,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-customer-service-at-royal-van-zanten-4463877729,orderverwerking medewerker,ok,woocommerce,,4,,,ja,ja,2,api[- ]documen|veiling,,,,
Salta Group,salta.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-09,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-salta-group-4445700000,klantadviseur,ok,,,,freshdesk,trustpilot,ja,ja,4,,08156346,7651 DH,00310854877888,
Sanbio B.V.,sanbio.nl,geraden en bevestigd,Medewerker Binnendienst,2026-09-10,Uden,1,nee,https://nl.linkedin.com/jobs/view/medewerker-binnendienst-at-sanbio-b-v-4465609918,orderverwerking medewerker,ok,magento,,,hubspot,,ja,,0,,,5405 PB,,
Satechi,satechi.com,geraden en bevestigd,Order Fulfillment Specialist,2026-08-24,Nederland,1,nee,https://nl.linkedin.com/jobs/view/order-fulfillment-specialist-at-satechi-4458531021,orderverwerking medewerker,ok,shopify,141,3,hubspot,trustpilot,ja,,0,,,,,
SECRID,secrid.com,geraden en bevestigd,Logistiek Allrounder,2026-09-16,Randstad,2,nee,https://nl.linkedin.com/jobs/view/logistiek-allrounder-at-secrid-4468218180,orderverwerking medewerker,ok,,,,,,ja,,2,,,,,
Skil B.V.,skil.com,geraden en bevestigd,E-Commerce Specialist (EMEA),2026-09-04,Breda-Tilburg Area,2,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-emea-at-skil-b-v-4461166211,e-commerce medewerker,ok,shopify,521,4,,,ja,,1,,,,,
SRS,srs.nl,geraden en bevestigd,Retail Support Agent,2025-09-29,Almere,1,nee,https://nl.linkedin.com/jobs/view/retail-support-agent-at-srs-4305383527,support medewerker webshop,ok,woocommerce,,,zendesk,,ja,,0,,,1322 CG,0365487030,
STOX Energy Socks,stoxenergy.com,geraden en bevestigd,Customer Service Specialist,2026-09-04,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-stox-energy-socks-4463382019,klantenservice medewerker,ok,shopify,246,23,whatsapp,trustpilot|trustedshops,ja,,0,,,1076DE,+31202600129,
Suitsupply,suitsupply.com,geraden en bevestigd,Customer Service Specialist,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-suitsupply-4326536412,klantenservice medewerker,ok,shopify,,,whatsapp,,ja,,4,,,1079 MZ,0800 020 6227,
Sunware,sunware.com,geraden en bevestigd,Marketplace Specialist (32 - 40 uur),2026-09-14,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/marketplace-specialist-32-40-uur-at-sunware-4467048859,e-commerce medewerker,ok,,,5,,trustpilot,ja,,2,,18021519,5047 TR,0031135780633,
Tegeltje.nl,tegeltje.nl,geraden en bevestigd,Sales medewerker B2B (24-40 uur),2026-09-18,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/sales-medewerker-b2b-24-40-uur-at-tegeltje-nl-4469197217,e-commerce medewerker,ok,woocommerce,,,helpscout,,ja,ja,2,,58276270,2411 PV,,
Termeer Groep,mooiedomeinnaam.nl,geraden en bevestigd,Webshopmedewerker (maandag),2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/webshopmedewerker-maandag-at-termeer-groep-4371879320,webcare medewerker,ok,,,,whatsapp,,ja,,0,onze dienstver,,3353HC,+31888777555,
Trusted Shops,trustedshops.nl,geraden en bevestigd,Customer Success Manager Benelux (f/m/d),2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-f-m-d-at-trusted-shops-4461893682,customer happiness,ok,,,12,hubspot,trustedshops,ja,,1,,,,,
Van den Bosch,vandenbosch.nl,geraden en bevestigd,Klantenservicemedewerker,2026-09-03,Erp,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-van-den-bosch-4462788081,klantenservice medewerker,ok,woocommerce,,20,,,ja,ja,0,,,4191 MS,+31 345 581490,
Van Dorp,vandorp.nl,geraden en bevestigd,Helpdeskmedewerker ICT | Nieuwegein,2026-07-10,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-ict-nieuwegein-at-van-dorp-4435990557,support medewerker webshop,ok,woocommerce,,,,,ja,,0,,,2382 NW,,
VERO MODA,veromoda.com,geraden en bevestigd,Verkoopmedewerker VERO MODA Zwolle,2026-06-17,Zwolle,2,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-vero-moda-zwolle-at-vero-moda-4429939849,support medewerker webshop,ok,,,43,zendesk,trustpilot,ja,,4,,,1013 AC,,
ViewSonic,viewsonic.com,geraden en bevestigd,Customer Success Coordinator German,2026-09-04,Weesp,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-german-at-viewsonic-4461974451,customer happiness,ok,magento,,3,freshdesk,yotpo,ja,,0,,,,,
Viking Europe,viking-europe.com,geraden en bevestigd,Local Commercial Web Manager NLD,2026-09-16,Venlo,1,nee,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-europe-4468262157,webcare medewerker,ok,magento,,,,,ja,,0,,,,+48338281830,
VINVIN Wines,vinvinwines.nl,geraden en bevestigd,Commercieel medewerker binnendienst,2026-09-17,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vinvin-wines-4468693688,orderverwerking medewerker,ok,,,,whatsapp,,ja,,3,,78220300,3047 BB,+31102183800,
Vulpes Goods,vulpesgoods.com,geraden en bevestigd,Customer Experience Specialist,2026-08-25,Bunnik,1,ja,https://nl.linkedin.com/jobs/view/customer-experience-specialist-at-vulpes-goods-4458599796,customer happiness,ok,woocommerce,,,whatsapp,trustpilot|trustedshops,ja,,4,veiling,,3981 PC,+31 85 004 1705,
waterdrop®,waterdrop.nl,geraden en bevestigd,Sales Assistant - Hydrista (w/m/d),2026-08-28,Roermond,1,nee,https://nl.linkedin.com/jobs/view/sales-assistant-hydrista-w-m-d-at-waterdrop%C2%AE-4455346916,webshop medewerker,ok,shopify,163,41,,,ja,,3,,,7697AC,,
WestCord Hotels,westcordhotels.nl,geraden en bevestigd,Medewerker Bediening Fulltime,2026-09-14,Groningen,6,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-westcord-hotels-4464799747,webcare medewerker,ok,woocommerce,,4,,,ja,,0,,,,,
Zelesta,zelesta.nl,geraden en bevestigd,E-commerce Specialist,2026-09-21,Soesterberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-zelesta-4469874193,webcare medewerker,ok,shopify,768,27,,trustpilot|judgeme,ja,,1,,,,,
ZENGGI,zenggi.com,geraden en bevestigd,Digital Marketing Growth Specialist,2026-08-29,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/digital-marketing-growth-specialist-at-zenggi-4460856187,e-commerce medewerker,ok,shopify,425,6,,trustpilot,ja,ja,1,,,1059CL,,
Zitmaxx Wonen,zitmaxx.nl,geraden en bevestigd,Photoshopper / Beeldbewerker,2026-09-15,Ter Aar,5,nee,https://nl.linkedin.com/jobs/view/photoshopper-beeldbewerker-at-zitmaxx-wonen-4467778899,webshop medewerker,ok,magento,,,tawk|whatsapp,trustpilot,ja,,3,,59200359,2461 EX,,
Zorg+Welzijn,zorgwelzijn.nl,geraden en bevestigd,Huiskamer medewerker | PG,2026-07-24,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/huiskamer-medewerker-pg-at-zorg%2Bwelzijn-4444975815,webcare medewerker,ok,woocommerce,,,,,ja,,0,onze dienstver,,3584 BW,0306383736,
