bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
La Souris,lasouris.com,geraden en bevestigd,Customer Succes Medewerker Antwerpen,2026-09-04,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-succes-medewerker-antwerpen-at-la-souris-4463371588,klantenservice medewerker,ok,,,,,,,,0,,,,,
LIZY,lizy.nl,geraden en bevestigd,Customer Care Associate,2026-08-12,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-associate-at-lizy-4448018613,klantenservice medewerker,ok,,,,,trustpilot,,,1,,,1103AD,+31858885638,
Medista NV,ww16.medista.com,geraden en bevestigd,Customer Service Coordinator,2026-08-05,"Zaventem, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-coordinator-at-medista-nv-4449423641,klantenservice medewerker,ok,,,,,,,,0,,,,,
Mega,mega.nl,geraden en bevestigd,Customer Care Advisor,2026-07-26,"Leuven, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-advisor-at-mega-4456743356,klantenservice medewerker,ok,,,,whatsapp,,,,0,veiling,77949803,3012 AG,+310108800088,
Mobile Vikings,mobilevikings.be,geraden en bevestigd,Customer Care Agent,2026-09-14,"Hasselt, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-agent-at-mobile-vikings-4467055130,klantenservice medewerker,ok,,,4,zendesk,,,,0,,,,,
Modulaire Group,ww16.modulaire.com,geraden en bevestigd,Customer Service Officer/Belgium,2026-09-01,"Beringen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-belgium-at-modulaire-group-4461711763,klantenservice medewerker,ok,,,,,,,,0,,,,,
Nodalview,nodalview.com,geraden en bevestigd,Customer Care &amp; Logistic Expert - French speaking,2026-09-14,"Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-logistic-expert-french-speaking-at-nodalview-4465204200,klantenservice medewerker,ok,,,7,,,,,0,demo aanvragen,,,,
OVAL,oval.nl,geraden en bevestigd,Loyalty and Customer Support Officer,2026-08-14,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/loyalty-and-customer-support-officer-at-oval-4451206920,klantenservice medewerker,ok,,,,,,,,0,,,5047 TW,,
Paynovate,paynovate.com,geraden en bevestigd,Customer Support Officer,2026-09-03,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-officer-at-paynovate-4462897429,klantenservice medewerker,ok,,,3,,,,,0,api[- ]documen,,,,
PepperMill Casino,peppermill-casinos1.com,geraden en bevestigd,Medewerker klantenondersteuning,2026-09-01,"Oudsbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/medewerker-klantenondersteuning-at-peppermill-casino-4460344534,klantenservice medewerker,ok,,,,,,,,0,,,,,
Play Media,robbertelshout.me,geraden en bevestigd,Customer Care Medewerker,2026-09-10,"Vilvoorde, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-play-media-4456354266,klantenservice medewerker,ok,,,,,,,,0,,,,,
Print.com,print.com,geraden en bevestigd,Customer Service Medewerker NL/FR,2026-09-10,"Grimbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-nl-fr-at-print-com-4465622048,klantenservice medewerker,ok,,,14,hubspot,,,,1,,69059500,7418 AM,,
Proximus Group,proximus.com,geraden en bevestigd,Customer Service Specialist,2026-08-26,"Antwerpen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-proximus-group-4457931025,klantenservice medewerker,ok,,,1,,,,ja,0,,,,,
Qover,qover.com,geraden en bevestigd,Customer Care Professional (Dutch + English speaking),2026-09-16,Brussel en omgeving,3,nee,https://be.linkedin.com/jobs/view/customer-care-professional-dutch-%2B-english-speaking-at-qover-4468249178,klantenservice medewerker,ok,,,,hubspot|chatgpt-bot,trustpilot,,,0,,,,,
Reno Energy,reno-energy.com,geraden en bevestigd,Collaborateur Service clientèle NL/FR,2026-02-24,"Luik, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/collaborateur-service-client%C3%A8le-nl-fr-at-reno-energy-4377129837,klantenservice medewerker,ok,,,,,,,,0,api[- ]documen,,,,
Sabert Corporation Europe,sabertcorporation.com,geraden en bevestigd,Customer Care Representative,2026-08-26,"Nijvel, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-representative-at-sabert-corporation-europe-4447290488,klantenservice medewerker,ok,,,,,,,,0,,,,,
SEA-invest,sea-invest.com,geraden en bevestigd,Customer Service Medewerker,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-sea-invest-4465750755,klantenservice medewerker,ok,,,4,,,,,0,,,,,
Securex,securex.nl,geraden en bevestigd,Customer Service Advisor District 29,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-district-29-at-securex-4456887404,klantenservice medewerker,ok,,,,,,,,1,onze dienstver,60463899,6538 SZ,+31(0)246452743,
Sennheiser,sennheiser.com,geraden en bevestigd,Customer Support Specialist,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-specialist-at-sennheiser-4463526083,klantenservice medewerker,ok,,,,chatgpt-bot,,,,0,,,,,
Tarkett,tarkett.nl,geraden en bevestigd,Customer Service Officer,2026-09-17,"Dendermonde, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-tarkett-4467547237,klantenservice medewerker,ok,,,,,,,,0,,,,,
The Flex,theflex.nl,geraden en bevestigd,French-Speaking Customer Experience Specialist,2026-06-18,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/french-speaking-customer-experience-specialist-at-the-flex-4430765534,klantenservice medewerker,ok,,,,,,,,0,,62205862,5021CG,0135444755,
Thule Group,thule.com,geraden en bevestigd,Customer Service Medewerker,2026-09-09,"Menen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-thule-group-4463877712,klantenservice medewerker,ok,,,92,,,,,4,,,,,
Trouw Nutrition,trouwnutrition-benelux.com,geraden en bevestigd,Customer Service Representative,2026-09-04,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-trouw-nutrition-4462317320,klantenservice medewerker,ok,,,4,,,,,0,,,,,
TVH,tvh.com,geraden en bevestigd,Customer Care Advisor France,2026-09-03,"Waregem, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-advisor-france-at-tvh-4462782516,klantenservice medewerker,ok,,,,,,,,0,,,,+32 56 43 42 11,
VAB,vab.nl,geraden en bevestigd,Customer Support Medewerker,2026-09-08,"Zwijndrecht, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-medewerker-at-vab-4463500108,klantenservice medewerker,ok,,,,,,,,0,,,8024 AE,+310365225555,
Van Moer Logistics,vanmoer.com,geraden en bevestigd,Customer Service Officer,2026-09-01,"Beringen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-van-moer-logistics-4459504625,klantenservice medewerker,ok,,,,,,,,0,,,,+32 487 16 64 92,
VELUX,velux.nl,geraden en bevestigd,Customer Service Advisor – VELUX Belgium,2026-09-17,"Waver, Wallonië, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-%E2%80%93-velux-belgium-at-velux-4468604708,klantenservice medewerker,ok,,,32,hubspot,,,,0,,46911415,,,
Volvo Trucks,volvotrucks.nl,geraden en bevestigd,Customer Service Coordinator - Dutch + German,2026-09-06,"Gent, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-coordinator-dutch-%2B-german-at-volvo-trucks-4436752885,klantenservice medewerker,ok,,,,,,,,0,,,4153 RD,,
Zero Friction,zerofriction.com,geraden en bevestigd,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,klantenservice medewerker,ok,shopify,64,,,judgeme,ja,,0,,,,,
