score,bedrijf,domein,vertical,signalen,cs_tools,markten,producten,b2b
5,Raizzed,raizzed.com,kinderkleding,408 artikelen; b2b naast d2c; eigen reviewplatform,,3,408,ja
5,Moodstreet,moodstreet.nl,kinderkleding,6 markten; b2b naast d2c; eigen reviewplatform,,6,228,ja
5,Bunnies JR,bunniesjr.nl,kinderschoenen,590 artikelen; b2b naast d2c; eigen reviewplatform,,0,590,ja
5,Yehwang,yehwang.com,sieraden,7 markten; b2b naast d2c; eigen reviewplatform,whatsapp-widget,7,,ja
4,Ivy Beau,ivybeau.com,fashion-dames,601 artikelen; b2b naast d2c,,3,601,ja
4,Cosmeau,cosmeau.com,huishoud,b2b naast d2c; eigen reviewplatform; carrierepagina,crisp,4,126,ja
4,Marcels Green Soap,marcelsgreensoap.com,huishoud,b2b naast d2c; eigen reviewplatform; carrierepagina,,5,137,ja
4,Golden Naturals,goldennaturals.com,supplementen,betaalt voor trengo; eigen reviewplatform,trengo|whatsapp-widget,0,,
4,Mattisson Healthstyle,mattisson.nl,supplementen,betaalt voor freshdesk; eigen reviewplatform,freshdesk,1,,
4,Koeka,koeka.com,baby,b2b naast d2c; eigen reviewplatform; carrierepagina,,4,,ja
4,BoJungle,bojungle.eu,baby-be,10 markten; b2b naast d2c,,10,,ja
4,Veloretti,veloretti.com,mobiliteit,betaalt voor gorgias; carrierepagina,gorgias,0,,
4,Koko Noko,kokonoko.nl,kinderkleding,b2b naast d2c; eigen reviewplatform; carrierepagina,,0,,ja
4,Xsensible,xsensible.com,schoenen,b2b naast d2c; eigen reviewplatform; carrierepagina,,0,,ja
4,Develab,develab.com,kinderschoenen,b2b naast d2c; eigen reviewplatform; carrierepagina,,0,,ja
4,Homey,homey.app,smart-home,82 markten; carrierepagina,,82,,
3,Nukus,nukus.nl,fashion-dames,b2b naast d2c; carrierepagina,,0,217,ja
3,Estseven,estseven.com,fashion-dames,b2b naast d2c; eigen reviewplatform,,0,186,ja
3,Costes Fashion,costesfashion.com,fashion-dames,b2b naast d2c; carrierepagina,,2,,ja
3,Shabbies Amsterdam,shabbiesamsterdam.com,schoenen,b2b naast d2c; eigen reviewplatform,,3,,ja
3,Frankie and Liberty,frankieandliberty.com,kinderkleding,b2b naast d2c; eigen reviewplatform,,0,,ja
3,Indian Blue Jeans,indianbluejeans.com,kinderkleding,b2b naast d2c; carrierepagina,,0,80,ja
3,Purasana,purasana.com,supplementen-be,b2b naast d2c; eigen reviewplatform,,3,,ja
3,Sencebeauty,sencebeauty.nl,beauty,b2b naast d2c; carrierepagina,,4,,ja
2,Zebra Trends,zebratrends.nl,tassen,b2b naast d2c,,0,,ja
2,Names4ever,names4ever.nl,personalisatie-sieraden,eigen reviewplatform; carrierepagina,,2,,
2,De Krat,dekrat.nl,food-abonnement,b2b naast d2c,,0,,ja
2,Dirkje,dirkje.nl,kinderkleding,b2b naast d2c,,0,,ja
2,Blue Rebel,bluerebel.nl,kinderkleding,b2b naast d2c,,4,,ja
2,Tumble N Dry,tumblendry.com,kinderkleding,b2b naast d2c,,0,,ja
2,Vinrose,vinrose.nl,kinderkleding,6 markten,,6,,
2,Esqualo,esqualo.com,fashion-dames,b2b naast d2c,tawk,1,,ja
1,Fifth House,fifthhouse.nl,fashion-dames,carrierepagina,,2,,
1,Fjory,fjory.nl,sieraden,eigen reviewplatform,,0,,
1,Cellcare,cellcare.be,supplementen-be,eigen reviewplatform,,0,,
1,Charlie Temple,charlietemple.com,brillen,eigen reviewplatform,,0,,
1,Kivo Petfood,kivopetfood.nl,huisdier,carrierepagina,,0,,
