bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
deSter,dester.com,geraden en bevestigd,Customer Service Representative,2026-08-24,"Hoogstraten, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-dester-4455885281,klantenservice medewerker
ECCO Products,ecco-products.com,geraden en bevestigd,Customer Hero,2026-08-28,"Oost-Vlaanderen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-hero-at-ecco-products-4458075324,klantenservice medewerker
Entra,entra.nl,geraden en bevestigd,Employé service clients,2026-09-08,Charleroi en omgeving,1,nee,https://be.linkedin.com/jobs/view/employ%C3%A9-service-clients-at-entra-4451118711,klantenservice medewerker
Eurofins,eurofins.com,geraden en bevestigd,Customer Service,2026-08-14,"De Pinte, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-at-eurofins-4454564104,klantenservice medewerker
Euroports,euroports.com,geraden en bevestigd,Customer Service Executive,2026-09-12,"Kallo, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-executive-at-euroports-4428044046,klantenservice medewerker
finc,finc.com,geraden en bevestigd,Customer Service medewerker,2026-09-10,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-finc-4440685861,klantenservice medewerker
Fine Dining & Living,finediningandliving.eu,geraden en bevestigd,Customer Service Medewerker,2026-09-11,"Geel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,klantenservice medewerker
Gebeco,gebeco.com,geraden en bevestigd,Mitarbeiter/in (m/w/d) Gebeco Service - Team / auch als Quereinsteiger/in,2026-07-29,"Kiel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/mitarbeiter-in-m-w-d-gebeco-service-team-auch-als-quereinsteiger-in-at-gebeco-4446038916,klantenservice medewerker
Hermès,hermsbv.nl,geraden en bevestigd,"Client Relations Agent (Fluent in Dutch, French and English)",2026-09-05,"Cimetière de Bruxelles, België",5,nee,https://be.linkedin.com/jobs/view/client-relations-agent-fluent-in-dutch-french-and-english-at-herm%C3%A8s-4434640210,klantenservice medewerker
Ignite,ignite.nl,geraden en bevestigd,Czech &amp; Polish Speaking Customer Support Representative (Hybrid),2026-09-21,"Gent, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/czech-polish-speaking-customer-support-representative-hybrid-at-ignite-4468477939,klantenservice medewerker
Impermo,impermo.nl,geraden en bevestigd,Customer Care Professional,2026-09-10,"Sint-Truiden, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-professional-at-impermo-4465809198,klantenservice medewerker
Inizio Engage,inizioengage.com,geraden en bevestigd,Customer Service Representative (Hybrid),2026-08-26,"Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-hybrid-at-inizio-engage-4435846179,klantenservice medewerker
Jobloom,jobloom.com,geraden en bevestigd,Customer care,2026-06-26,"Waver, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-at-jobloom-4433818529,klantenservice medewerker
Just Russel,justrussel.nl,geraden en bevestigd,Customer support hero FR,2026-08-07,"Deinze, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-hero-fr-at-just-russel-4461723905,klantenservice medewerker
KONE,kone.nl,geraden en bevestigd,Customer Service &amp; Admin,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-admin-at-kone-4421814822,klantenservice medewerker
KSB Company,ksb.com:443,geraden en bevestigd,Customer Service Representative,2026-05-14,"Waver, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-ksb-company-4411515928,klantenservice medewerker
La Souris,lasouris.com,geraden en bevestigd,Customer Succes Medewerker Antwerpen,2026-09-04,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-succes-medewerker-antwerpen-at-la-souris-4463371588,klantenservice medewerker
LIZY,lizy.nl,geraden en bevestigd,Customer Care Associate,2026-08-12,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-associate-at-lizy-4448018613,klantenservice medewerker
Medista NV,ww16.medista.com,geraden en bevestigd,Customer Service Coordinator,2026-08-05,"Zaventem, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-coordinator-at-medista-nv-4449423641,klantenservice medewerker
Mega,mega.nl,geraden en bevestigd,Customer Care Advisor,2026-07-26,"Leuven, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-advisor-at-mega-4456743356,klantenservice medewerker
Mobile Vikings,mobilevikings.be,geraden en bevestigd,Customer Care Agent,2026-09-14,"Hasselt, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-agent-at-mobile-vikings-4467055130,klantenservice medewerker
Modulaire Group,ww16.modulaire.com,geraden en bevestigd,Customer Service Officer/Belgium,2026-09-01,"Beringen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-belgium-at-modulaire-group-4461711763,klantenservice medewerker
Nodalview,nodalview.com,geraden en bevestigd,Customer Care &amp; Logistic Expert - French speaking,2026-09-14,"Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-logistic-expert-french-speaking-at-nodalview-4465204200,klantenservice medewerker
OVAL,oval.nl,geraden en bevestigd,Loyalty and Customer Support Officer,2026-08-14,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/loyalty-and-customer-support-officer-at-oval-4451206920,klantenservice medewerker
Paynovate,paynovate.com,geraden en bevestigd,Customer Support Officer,2026-09-03,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-officer-at-paynovate-4462897429,klantenservice medewerker
PepperMill Casino,peppermill-casinos1.com,geraden en bevestigd,Medewerker klantenondersteuning,2026-09-01,"Oudsbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/medewerker-klantenondersteuning-at-peppermill-casino-4460344534,klantenservice medewerker
Play Media,robbertelshout.me,geraden en bevestigd,Customer Care Medewerker,2026-09-10,"Vilvoorde, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-play-media-4456354266,klantenservice medewerker
Print.com,print.com,geraden en bevestigd,Customer Service Medewerker NL/FR,2026-09-10,"Grimbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-nl-fr-at-print-com-4465622048,klantenservice medewerker
Proximus Group,proximus.com,geraden en bevestigd,Customer Service Specialist,2026-08-26,"Antwerpen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-proximus-group-4457931025,klantenservice medewerker
Qover,qover.com,geraden en bevestigd,Customer Care Professional (Dutch + English speaking),2026-09-16,Brussel en omgeving,3,nee,https://be.linkedin.com/jobs/view/customer-care-professional-dutch-%2B-english-speaking-at-qover-4468249178,klantenservice medewerker
Reno Energy,reno-energy.com,geraden en bevestigd,Collaborateur Service clientèle NL/FR,2026-02-24,"Luik, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/collaborateur-service-client%C3%A8le-nl-fr-at-reno-energy-4377129837,klantenservice medewerker
Sabert Corporation Europe,sabertcorporation.com,geraden en bevestigd,Customer Care Representative,2026-08-26,"Nijvel, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-representative-at-sabert-corporation-europe-4447290488,klantenservice medewerker
SEA-invest,sea-invest.com,geraden en bevestigd,Customer Service Medewerker,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-sea-invest-4465750755,klantenservice medewerker
Securex,securex.nl,geraden en bevestigd,Customer Service Advisor District 29,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-district-29-at-securex-4456887404,klantenservice medewerker
Sennheiser,sennheiser.com,geraden en bevestigd,Customer Support Specialist,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-specialist-at-sennheiser-4463526083,klantenservice medewerker
Tarkett,tarkett.nl,geraden en bevestigd,Customer Service Officer,2026-09-17,"Dendermonde, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-tarkett-4467547237,klantenservice medewerker
The Flex,theflex.nl,geraden en bevestigd,French-Speaking Customer Experience Specialist,2026-06-18,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/french-speaking-customer-experience-specialist-at-the-flex-4430765534,klantenservice medewerker
Thule Group,thule.com,geraden en bevestigd,Customer Service Medewerker,2026-09-09,"Menen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-thule-group-4463877712,klantenservice medewerker
Trouw Nutrition,trouwnutrition-benelux.com,geraden en bevestigd,Customer Service Representative,2026-09-04,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-trouw-nutrition-4462317320,klantenservice medewerker
TVH,tvh.com,geraden en bevestigd,Customer Care Advisor France,2026-09-03,"Waregem, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-advisor-france-at-tvh-4462782516,klantenservice medewerker
VAB,vab.nl,geraden en bevestigd,Customer Support Medewerker,2026-09-08,"Zwijndrecht, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-medewerker-at-vab-4463500108,klantenservice medewerker
Van Moer Logistics,vanmoer.com,geraden en bevestigd,Customer Service Officer,2026-09-01,"Beringen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-van-moer-logistics-4459504625,klantenservice medewerker
VELUX,velux.nl,geraden en bevestigd,Customer Service Advisor – VELUX Belgium,2026-09-17,"Waver, Wallonië, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-%E2%80%93-velux-belgium-at-velux-4468604708,klantenservice medewerker
Volvo Trucks,volvotrucks.nl,geraden en bevestigd,Customer Service Coordinator - Dutch + German,2026-09-06,"Gent, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-coordinator-dutch-%2B-german-at-volvo-trucks-4436752885,klantenservice medewerker
Zero Friction,zerofriction.com,geraden en bevestigd,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,klantenservice medewerker
