bedrijf,domein,herkomst,platform,producten,markten,cs_tools,review_tools,vacature,vacature_datum,reviewscore,klachten,opgelost_pct,kvk,postcode,telefoon,signalen
Amacx Sports Nutrition,amacx.com,vacature,,96,,,judgeme,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,,,,,2201 CW,+31 71 737 0031,Shopify; eigen reviewplatform; desk dicht voor de avond
Icetubs,icetubs.com,vacature,,,1,hubspot|whatsapp,trustpilot,Webflow &amp; Shopify Developer,2026-07-13,,,,,,,betaalt voor hubspot; eigen reviewplatform; geen telefoonlijn gevonden
Fine Dining & Living,finediningandliving.eu,vacature,,,4,,,Customer Service Medewerker,2026-09-11,,,,,,+3214242900,magento; te weinig volumebewijs voor de band; b2b naast d2c; zoekt klantcontact: Customer Service Medewerker; vacature staat nog open
Dwelly,dwelly.nl,vacature,,177,4,,judgeme,CRM &amp; Email Marketing Manager,2026-08-15,,,,,,,Shopify; 177 artikelen; eigen reviewplatform; geen telefoonlijn gevonden
Greetz,greetz.nl,vacature,,,,intercom|hubspot,trustpilot,Brand &amp; Campaign Marketer (Dutch &amp; English Speaking),2026-09-07,,1052,60,,,,betaalt voor intercom/hubspot; eigen reviewplatform; geen telefoonlijn gevonden
Foxelli Group,foxelli.com,vacature,,61,,,loox,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,2026-07-31,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden
Vedder & Vedder,vedder-vedder.nl,vacature,,,4,,trustedshops,E-Commerce Merchandiser,2026-09-20,,3,0,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden
Inktweb.nl,inktweb.nl,vacature,,,3,,feedbackcompany,Customer Support,2026-08-07,4.4,,,,1821 BT,,eigen reviewplatform; geen telefoonlijn gevonden
Interieurwereld van de Belt,interieurwereld.nl,vacature,,,,whatsapp,feedbackcompany,Verkoopmedewerker diverse afdelingen,2026-09-21,,,,04032571,7949AR,088 111 0580,magento; eigen reviewplatform
MARC INBANE® Official,marcinbane.com,vacature,,,,,trustpilot,E-commerce Manager,2026-08-24,,,,55513603,5048 AA,0136142230,eigen reviewplatform; b2b naast d2c
Van Leersum Dranken,vanleersumdranken.nl,vacature,,,,,,Magazijnmedewerker in Den Haag,2026-05-26,,,,,2491 DK,070 355 06 93,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond; vierdaagse week
Style Woerden,stylewoerden.nl,bureau,shopify,1000,16,,trustpilot,,,,,,,0064FF,,
the Store Woerden,thestorewoerden.nl,bureau,shopify,1000,4,,trustpilot|judgeme,,,,,,,0064FF,06  18 25 84 66,
Butik Alkmaar,butikalkmaar.nl,bureau,shopify,1000,3,whatsapp,,,,,,,86042696,1811 BL,072  220 32 26,
Antracite,antracite.com,bureau,shopify,1000,3,chatgpt-bot,,,,,,,20122975,4813 XG,+31 (0)85 - 666 77,
Things I Like Things I Love,thingsilikethingsilove.com,bureau,shopify,1000,7,,trustpilot|trustedshops,,,,,,,1042AC,,
Trendmode,trend-mode.nl,bureau,shopify,159,,whatsapp,,,,,,,94157928,2288EJ,+310613123166,
Equalite,equalite.nl,bureau,shopify,447,5,trengo,,,,,,,75026031,,,
Son of a Beach,sonofabeach.nl,bureau,shopify,675,43,whatsapp,,,,,,,,,+31413410150,
Mascolori,mascolori.nl,bureau,shopify,341,466,tawk,feedbackcompany|loox|yotpo,,,,,,66744172,3015 BE,+31 10 223 05 35,
Feliz Shoes,felizshoes.com,bureau,shopify,151,3,,,,,,,,,1015 BZ,,
Fashion Specs,fashionspecs.com,bureau,shopify,165,5,,,,,,,,,,,
Northgate Watches,northgatewatches.com,bureau,shopify,64,3,whatsapp,judgeme,,,,,,,2254 AE,+31658998427,
La Luna Bags,lalunabags.nl,bureau,shopify,340,5,,trustpilot,,,,,,,,,
Bamboosa,bamboosa.nl,bureau,shopify,49,,,trustpilot,,,,,,87690209,7602 KE,085-7605165,
Tenue Soleil,tenuesoleil.com,bureau,shopify,78,3,whatsapp,trustpilot|yotpo,,,,,,,,,
Nyn Vintage,nynvintage.com,bureau,shopify,603,,,,,,,,,,,,
Heart Essence Sisters,heartessencesisters.com,bureau,shopify,19,3,,trustpilot,,,,,,,,,
Snackje,snackje.com,bureau,shopify,1000,3,,trustedshops,,,,,,,6921RR,+31 85 060 1060,
Yama Food Shop,yamafoodshop.nl,bureau,shopify,244,4,,,,,,,,,,310852738880,
Pure Kakaw,purekakaw.com,bureau,shopify,15,4,gorgias,judgeme,,,,,,,,,
Coffee Factory,coffeefactory.nl,bureau,shopify,1000,,,trustpilot|loox,,,,,,,3316 KD,078-8330022,
Heirloom Pantry Club,heirloompantryclub.nl,bureau,shopify,12,5,,judgeme,,,,,,,,,
Fits4kids,fits4kids.store,bureau,shopify,39,30,,,,,,,,,,,
361 Europe,361europe.com,bureau,shopify,254,,,judgeme,,,,,,,,,
Hang Eleven,hang-eleven.com,bureau,shopify,248,26,gorgias|chatgpt-bot,trustpilot,,,,,,,,,
Skor,skor.nl,bureau,shopify,940,5,,judgeme,,,,,,,,,
Dynamic Bike Care,dynamicbikecare.com,bureau,shopify,88,10,gorgias,judgeme,,,,,,,2026 UK,,
Lasas en Loekov,lasasenloekov.nl,bureau,shopify,498,,whatsapp,,,,,,,27255093,2512 CB,,
Frankly Amsterdam,frankly.amsterdam,bureau,shopify,629,,,,,,,,,,1019 BB,+ 31 (0) 20 737081,
Kas20,kas20.nl,bureau,shopify,1000,4,,,,,,,,,1324 KW,,
Cejor Wonen,cejorwonen.nl,bureau,shopify,1000,4,intercom,loox,,,,,,,,,
Abrigu,abrigu.nl,bureau,shopify,205,,,judgeme,,,,,,,,,
Felman,felman.shop,bureau,shopify,35,,,trustpilot,,,,,,,,,
Studio Sif,studiosif.com,bureau,shopify,26,3,,judgeme,,,,,,,,,
Nevvi Dog,nevvidog.com,bureau,shopify,31,,,trustedshops|loox,,,,,,,1015 CJ,+31201234567,
Layzin Skin,layzinskin.com,bureau,shopify,54,4,,trustpilot|judgeme,,,,,,,,,
Korean Wonder,koreanwonder.nl,bureau,shopify,335,3,whatsapp,,,,,,,58778942,1814 AB,,
Nasomatto,nasomatto.com,bureau,shopify,13,6,,,,,,,,,,,
Jutkey,jutkey.nl,bureau,shopify,698,5,whatsapp,,,,,,,,1046AG,+310206169455,
Rc Motorsports,rcmotorsports.nl,bureau,shopify,1000,,,,,,,,,,2879FE,,
de Hobbit,dehobbit.nl,bureau,shopify,399,,whatsapp,,,,,,,,,0723038701,
Vivara,vivara.nl,bureau-case,magento,,11,,trustpilot,,,,,,,5804 CE,,
Baskèts,baskets-store.com,bureau-case,shopify,233,3,gorgias|whatsapp,trustpilot|yotpo,,,,,,,,,
Dekbed discounter,dekbed-discounter.nl,bureau-case,shopify,1000,,,trustpilot|yotpo,,,,,,,2803 PC,,
Diamond Point,diamondpoint.net,bureau-case,shopify,1000,3,gorgias,kiyoh,,,,,,,,,
Gisou,gisou.com,bureau-case,shopify,61,,gorgias,yotpo,,,,,,,,,
John Beerens,johnbeerens.com,bureau-case,shopify,499,7,,trustedshops|yotpo,,,,,,,,,
Mason Garments,masongarments.com,bureau-case,shopify,450,4,gorgias,trustedshops,,,,,,,,,
Natural High,surfshop.natural-high.nl,bureau-case,shopify,1000,,gorgias,yotpo,,,,,,,3253 MM,,
No excess,no-excess.com,bureau-case,shopify,1000,14,,trustedshops,,,,,,,5795AD,,
NØORDCODE,noordcode.com,bureau-case,shopify,60,31,gorgias,yotpo,,,,,,,5405 AC,,
OGÉR,oger.nl,bureau-case,shopify,618,4,gorgias,,,,,,,,,,
Olivia & Kate,oliviakate.nl,bureau-case,shopify,1000,5,trengo,,,,,,,,,,
REV’IT!,revitsport.com,bureau-case,shopify,1000,8,,,,,,,,,5342 LT,,
STËLZ,drinkstelz.com,bureau-case,shopify,10,3,hubspot,judgeme,,,,,,,,,
Stoov,nl.stoov.com,bureau-case,shopify,87,19,gorgias,trustpilot,,,,,,,,,
Tirisi,tirisi.com,bureau-case,woocommerce,,1,gorgias,,,,,,,,,,
ACAZA,acaza.nl,vacature,magento,,5,,trustpilot,Digital Content Creator,2026-09-18,,,,08238506,,020 890 81 49,
Amalys,amalys.com,vacature,shopify,125,4,,judgeme,Digital &amp; E-commerce Manager,2026-09-01,,,,,,,
Bambaw,nl.bambaw.com,vacature,shopify,51,11,tidio,,Supply Chain Manager,2026-09-21,,,,,,,
De Troubadour Interieurs,detroubadour.nl,vacature,,,,livechat|whatsapp,trustpilot,BIJBAAN ALLROUND WINKELMEDEWERKER,2026-08-08,,,,,1185 ZC,+31204560235,
Dierendonck,dierendonck.be,vacature,shopify,163,4,whatsapp,judgeme,VERANTWOORDELIJKE ORDERPICKING &amp; LOGISTIEK,2026-09-07,,,,,,+3258604000,
Dreambaby,dreambaby.com,vacature,shopify,18,5,,,Digital Marketeer: E-commerce &amp; CRM,2026-08-31,,,,,,,
FitnessKing,fitnessking.be,vacature,shopify,1000,3,,judgeme|yotpo,Online Marketing &amp; E-commerce Specialist,2026-09-17,,,,,,,
GIMBER,gimber.com,vacature,shopify,24,35,hubspot|chatgpt-bot,,Online Sales Intern,2026-05-11,,,,,,,
HappyBed,thehappybed.com,vacature,shopify,238,21,trengo,trustpilot|judgeme|trustedshops,Duitstalige Content Creator,2026-09-09,,,,,,,
HUB Footwear,hubfootwear.com,vacature,shopify,175,7,,,Content Creator,2026-09-22,,,,,2516AH,,
Local Taste,local-taste.nl,vacature,woocommerce,,,hubspot|whatsapp,,Community &amp; Support Medewerker,2026-09-16,,,,99876922,,+31634664780,
Luvion Premium Babyproducts,luvion.nl,vacature,woocommerce,,8,,,Stock &amp; Buying Coordinator,2026-09-09,,,,,2616 LZ,+31152190305,
Maatkasten Online,maatkastenonline.nl,vacature,,,,trengo|whatsapp|chatgpt-bot,trustpilot,Magazijnmedewerker (heftruck),2026-09-02,,,,,,+3250695901,
MKC Moto,mkcmoto.com,vacature,magento,,7,trengo|intercom,,Marketing coördinator MKC,2026-08-14,,,,,,,
myenergi bv,myenergi.com,vacature,woocommerce,,9,,trustpilot,Marketing &amp; Communications Specialist Europe,2026-09-23,,,,,,03333001303,
Natulim,natulim.com,vacature,shopify,68,4,,judgeme|loox,International Retention Manager (DTC),2026-09-18,,,,,,,
Numsy,numsy.nl,vacature,shopify,73,,,trustpilot|judgeme|loox,Customer Care (24-32 uur),2026-09-18,,,,,5232 BX,0850786323,
Pharma & More BV,pharmamore.com,vacature,shopify,109,4,,,Content Marketeer Vitasonar,2026-09-21,,,,,,,
QOOZII,qoozii.com,vacature,shopify,15,4,,trustpilot,Brand &amp; Digital Marketeer,2026-09-21,,,,,,,
RINSMA MODEPLEIN,rinsmamodeplein.nl,vacature,,,,,trustpilot,Stagiair Social Media,2026-08-25,,,,,,,
Rubio Monocoat,rubiomonocoat.nl,vacature,shopify,115,51,,,Campaign Manager,2026-09-21,,,,,,,
Santens,santens.be,vacature,magento,,1,intercom|tidio,,Technisch verkoopmedewerker,2026-03-19,,,,,,,
Smart Toys and Games,smarttoysandgames.com,vacature,shopify,637,,,judgeme,International Sales Support,2026-09-14,,,,,,800 542 6375,
Xpozer,xpozer.com,bureau-case,shopify,25,115,crisp|chatgpt-bot,,,,,,,,2516 AH,,
Compex Belgie,compex.com,bureau-case,shopify|magento,77,113,,trustpilot|yotpo,,,,,,,,,
Reypenaer,reypenaer.nl,bureau-case,,,4,,,,,,,,30088045,3446 CP,,
Wolk Airbag,wolkairbag.com,bureau-case,woocommerce,,2,,trustpilot,,,,,,,,0031850605556,
Suitical,suitical.com,bureau-case,magento,,5,,,,,,,,,,,
Loop Earplugs,loopearplugs.com,bureau/geblokkeerd,shopify,,23,,,,,,,,,,,"eigen merk oordoppen, Shopify met 23 markten"
Neonsfeer,neonsfeer.nl,bureau/geblokkeerd,shopify,,64,,,,,,,,,,,"eigen merk neonverlichting, Shopify met 64 markten"
Protest,protest.eu,bureau/geblokkeerd,,,,,,,,,,,,,,"eigen merk wintersportkleding, site achter Cloudflare"
Lampenlicht,lampenlicht.nl,bureau/geblokkeerd,,,,,,,,,,,,,,"webshop, bevestigd via de klantenlijst van Emico"
Tegeldepot,tegeldepot.nl,bureau/geblokkeerd,,,,,,,,,,,,,,"webshop, bevestigd via de klantenlijst van Emico"
Anna Diva,annadiva.nl,bureau/geblokkeerd,,,,,,,,,,,,,,"lingerie-webshop, klantenlijst Emico"
Swiss Sense,swisssense.nl,bureau/geblokkeerd,,,,,,,,,,,,,,"eigen merk bedden, klantenlijst Emico"
Multivlaai,multivlaai.nl,bureau/geblokkeerd,,,,,,,,,,,,,,"eigen merk, klantenlijst Emico"
BERG Toys,berg.com,bureau/geblokkeerd,,,,,,,,,,,,,,"eigen merk speeltoestellen, klantenlijst Emico"
McAlson,mcalson.com,bureauportfolio ronde 2,shopify,982,5,,yotpo,,,,,,,,,
Zonwering Fabriek,zonwering-fabriek.nl,bureauportfolio ronde 2,woocommerce,,3,hubspot,trustedshops,,,,,,,,,
My Hair Shop,myhairshop.nl,bureauportfolio ronde 2,magento,,,whatsapp,,,,,,,80733336,3047BD,,
Goedhart Motoren,goedhartmotoren.nl,bureauportfolio ronde 2,magento,,9,whatsapp,,,,,,,29036461,2411 NE,,
Aardbeiplantje,aardbeiplantje.nl,bureauportfolio ronde 2,magento,,,,trustpilot|trustedshops,,,,,,78446627,8372 VL,0031527202533,
Maxima,maxima.com,bureauportfolio ronde 2,magento,,50,freshdesk,trustpilot,,,,,,,3641RP,+31 297 253 969,
Pink Gellac,pinkgellac.com,bureauportfolio ronde 2,shopify,780,68,,trustpilot,,,,,,,,,
Zens,zens.tech,bureauportfolio ronde 2,shopify,53,4,,trustpilot,,,,,,,5656 AG,,
Trendhopper,trendhopper.nl,bureauportfolio ronde 2,magento,,,zendesk,,,,,,,61459860,3815KN,0880875875,
Magnetic Nail Design,magneticnaildesign.com,bureauportfolio ronde 2,magento,,,whatsapp,,,,,,,,,,
Mitari,mitari.nl,bureauportfolio ronde 2,magento,,2,chatgpt-bot,,,,,,,,5657HK,,
Dutchies,dutchies.com,bureauportfolio ronde 2,shopify,565,25,gorgias,trustedshops|yotpo,,,,,,,5211 MP,,
Gold Rush,gold-rush.com,bureauportfolio ronde 2,shopify,60,,,,,,,,,,0000FF,,
Pylos 59,pylos59.eu,bureauportfolio ronde 2,shopify,,4,,,,,,,,,,,
Fabric and Stitches,fabricandstitches.com,bureauportfolio ronde 2,shopify,12,,,,,,,,,,,+31 123 456 789,
Gintonic,gintonic.nl,bureauportfolio ronde 2,shopify,52,4,,,,,,,,,,085-060 4499,
Rum Baba,rumbaba.nl,bureauportfolio ronde 2,shopify,58,,,,,,,,,,,,
Fucking Strong Coffee,fuckingstrongcoffee.nl,bureauportfolio ronde 2,shopify,18,,,,,,,,,,,,
Kerstpakket.nl,kerstpakket.nl,bureauportfolio ronde 2,shopify,593,3,,,,,,,,,1474 HW,+31 85 208 1568,
Message in a Bottle,messageinabottle.eu,bureauportfolio ronde 2,shopify,25,,,,,,,,,83042709,2953XK,+310681534575,
Gebruikt Speelgoed,gebruiktspeelgoed.nl,bureauportfolio ronde 2,shopify,1000,3,,,,,,,,,,+31 (0)6 82 60 41,
Inferno Cooking,infernocooking.com,bureauportfolio ronde 2,shopify,19,4,,,,,,,,,,,
Case of Leila,caseofleila.com,bureauportfolio ronde 2,shopify,6,3,,,,,,,,,,,
Willem Dijk AGF,willemdijk.nl,bureauportfolio ronde 2,woocommerce,,4,,,,,,,,,7547 SJ,+31534325800,
Van Buuren,van-buuren.com,bureauportfolio ronde 2,,,1,,,,,,,,08093514,7461 AG,0548 - 53 53 53,
Ter Huurne Holland Markt,terhuurne.nl,bureauportfolio ronde 2,woocommerce,,3,,,,,,,,,7481 RZ,0535693569,
Ridemeister,ridemeister.cc,bureauportfolio ronde 2,woocommerce,,,,,,,,,,,,,
Pure Paws,purepaws.nl,bureauportfolio ronde 2,shopify,12,,,trustpilot,,,,,,,,,
Verdouw,verdouw.nu,bureauportfolio ronde 2,magento,,,,,,,,,,,,0182597300,
Kunstgrasnet,kunstgrasnet.nl,bureauportfolio ronde 2,magento,,,whatsapp,trustpilot,,,,,,05059519,8281 JK,+31383855424,
Tuinmeubelshop,tuinmeubelshop.nl,bureauportfolio ronde 2,magento,,4,,,,,,,,,,,
Haibu,haibu.nl,bureauportfolio ronde 2,magento,,2,,trustpilot,,,,,,,,+31545721091,
B Food,bfood.net,bureauportfolio ronde 2,woocommerce,,4,,,,,,,,,,,
We Love The Planet,welovetheplanet.com,bureauportfolio ronde 2,shopify,28,4,,trustpilot,,,,,,58740457,1948RC,0251745292,
Ranzijn,ranzijn.nl,bureauportfolio ronde 3,magento,,,,,,,,,,37054954,1812 NA,0888150150,
Drank.nl,drank.nl,bureauportfolio ronde 3,magento,,,,,,,,,,80993508,2513 BH,,
Dorstlust,dorstlust.nl,bureauportfolio ronde 3,magento,,,,,,,,,,,,,
Fullcartuning,fullcartuning.nl,bureauportfolio ronde 3,magento,,,zendesk,,,,,,,55349803,3861 NB,,
Mobico,mobico.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,,trustedshops,,,,,,71667539,3821AL,+31857990718,
Quipa.nl,quipa.nl,Thuiswinkel Waarborg-ledenlijst,,,,,,,,,,,83497110,5913BJ,0031858223983,
WeLoveCosmetics,welovecosmetics.nl,Thuiswinkel Waarborg-ledenlijst,,,2,whatsapp,,,,,,,81936931,3038CD,085 212 91 15,
MRS BEE fine jewelry,mrsbee.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,4,,,,,,,,,6921PM,+31 (0)6 27 21 69,
MisterMitch.nl,mistermitch.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,trustpilot,,,,,,,7811EL,085 800 1590,
Dutch Soap Company,dutchsoapcompany.com,Thuiswinkel Waarborg-ledenlijst,shopify,64,4,,,,,,,,22044294,4301CB,,
Drent & van Dijk Shop,drentenvandijkshop.nl,Thuiswinkel Waarborg-ledenlijst,shopify,1000,3,,kiyoh,,,,,,,9101PE,,
Nice thingZ,nicethingz.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,kiyoh,,,,,,,1506PC,,
Drogist Wereld,drogistwereld.nl,Thuiswinkel Waarborg-ledenlijst,shopify,250,,,kiyoh|judgeme,,,,,,,6541TW,,
HorlogeBoetiek,horlogeboetiek.nl,Thuiswinkel Waarborg-ledenlijst,magento,,,,trustpilot,,,,,,70610274,3035NJ,,
Daglief.nl,daglief.nl,Thuiswinkel Waarborg-ledenlijst,,,,whatsapp,trustedshops,,,,,,,3708AH,0850438080,
Bridgeshop.nl,bridgeshop.nl,Thuiswinkel Waarborg-ledenlijst,shopify,,,,,,,,,,,3533KH,,
Womanizer.nl,womanizer.nl,Thuiswinkel Waarborg-ledenlijst,woocommerce,,,zendesk,kiyoh,,,,,,57472378,2343LB,071-3626162,
