bedrijf,website,site_status,eind_url,teampagina,kandidaat_namen,vacaturepagina,aantal_vacatures,nieuwspagina,laatste_publicatie,dagen_stil,sitemap_urls,platform,linkedin_bedrijf,emails,persoonlijke_email,prio,let_op
Names4ever,names4ever.nl,200,https://www.names4ever.nl/,,,,,https://www.names4ever.nl/blog,,,615,,,info@names4ever.nl,,laag,
Sticky Lemon,stickylemon.nl,200,https://www.stickylemon.nl/,https://www.stickylemon.nl/pages/about,,,,,,,"5 sitemaps, eerste met 1 urls",Shopify,,info@stickylemon.nl,,laag,
LouLou Essentiels,loulouessentiels.nl,200,,,,,,https://loulouessentiels.nl/blogs/news,,,"5 sitemaps, eerste met 1 urls",Shopify,,,,laag,
Casimoda,casimoda.nl,200,https://www.casimoda.nl/,,,,,,,,5743,Lightspeed,,info@casimoda.nl,,laag,
Dogs Companion,dogscompanion.nl,200,https://www.dogscompanion.com/en/,https://www.dogscompanion.com/en/service/about/,,,,,,,"4 sitemaps, eerste met 1203 urls",Lightspeed,,,,laag,domein leidt door naar dogscompanion.com
Fitchef,fitchef.nl,200,,https://fitchef.nl/over-ons,,,,https://fitchef.nl/blog,,,2,,https://www.linkedin.com/company/fitchefbv,,,midden,
Greve Shoes,greve.nl,200,https://www.greve.nl/,https://www.greve.nl/pages/over-ons,,,,,,,"5 sitemaps, eerste met 1 urls",Shopify,https://www.linkedin.com/company/greve-schoenen,customercare@greve.nl,,midden,
Natural Heroes,naturalheroes.nl,200,https://www.naturalheroes.nl/,,,,,,,,1195,Shopify,,,,laag,
Wolky,wolky.com,200,https://www.wolky.com/,https://www.wolky.com/about-wolky/,,,,,,,"5 sitemaps, eerste met 69 urls",WooCommerce,,service@wolky.com,,laag,
Circle of Trust,circleoftrust.nl,200,https://www.circleoftrust.nl/,,,,,,,,650,Magento,,,,laag,
Costes Fashion,costesfashion.com,200,https://www.costesfashion.com:443/nl-nl/home,,,,,,,,"4 sitemaps, eerste met 2377 urls",,https://nl.linkedin.com/company/costes,service@costesfashion.com,,laag,domein leidt door naar costesfashion.com:443
Blackstone Shoes,blackstoneshoes.com,403,,,,,,,,,,,,,,,"site niet opgehaald, handmatig nakijken"
Xsensible,xsensible.com,200,https://www.xsensible.com/,https://www.xsensible.com/over-ons,Thomas Krol (manager),https://www.xsensible.com/vacatures,1,,,,47,Magento,https://www.linkedin.com/company/xsensibleshoes,,,hoog,
Red-Rag,red-rag.nl,onbereikbaar,,,,,,,,,,,,,,,"site niet opgehaald, handmatig nakijken"
Beaumont Amsterdam,beaumont.nl,200,https://www.beaumontmaastricht.com/,https://www.beaumontmaastricht.com/verhaal/,,,,,,,"6 sitemaps, eerste met 28 urls","Shopify, WordPress",,hello@beaumontmaastricht.com,,laag,domein leidt door naar beaumontmaastricht.com
Fifth House,fifthhouse.nl,200,https://www.fifthhouse.nl/,,,https://www.fifthhouse.nl/informatie/vacatures/,3,,,,3,Shopware,,,,laag,
