"bedrijf","domein","beslisser","rol","beslisser_status","beslisser_bron","aantal_bronnen","bron_met_datum","bedrijf_uitslag","bedrijf_code","koopmogelijkheid","brief_gereed"
"Proforto®","proforto.nl","Jelle Gudden","mede-oprichter","GEVERIFIEERD","MenA.nl + Ronnie Overgoor","2","nee","verkoopt","200","ja","nee"
"Drunens Ruiterhuis","drunensruiterhuis.nl","Tom Ruisbroek","eigenaar","GEVERIFIEERD","LinkedIn + eigen meet-the-team","2","nee","verkoopt","200","ja","ja"
"Cartouche Fashion","cartouchefashion.com","Fred van der Steen","algemeen directeur","GEVERIFIEERD","FashionUnited '40 jaar Cartouche' + LinkedIn 'Fred Van Der Steen - managing director at cartouche fashion'. LET OP: Cartouche Fashion in Alphen (riemen en leergoed) is een ANDER bedrijf dan Cartouche Mode in Drunen (damesmode, familie Jose en Maurice)","2","nee","verkoopt","200","ja","ja"
"Baktotaal","baktotaal.nl","Gerrit Bouwhuis","eigenaar","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"Dutch Jerky","dutchjerky.com","Jasper Poldervaart","mede-oprichter","GEVERIFIEERD","auteurspagina dutchjerky.com + ons-verhaal","2","nee","verkoopt","200","ja","ja"
"Hart Beach","hartbeach.nl","Paul Schuitema","eigenaar, samen met broer Romke","GEVERIFIEERD","LinkedIn + Big Improvement Day","2","nee","verkoopt","200","ja","ja"
"BONO","bono.nl","Justin Regterschot","oprichter en CEO","GEVERIFIEERD","LinkedIn + Ecommercenews","2","nee","verkoopt","200","ja","ja"
"Detailrs","detailrs.nl","Leon Verstraaten","oprichter en eigenaar","GEVERIFIEERD","Eindhovens Dagblad + eigen ons-verhaal","2","nee","verkoopt","200","ja","ja"
"Eve Curls","evecurls.nl","Ewa Delezuch-Ntambala","mede-oprichter","GEVERIFIEERD","eigen over-ons + haarspullen.nl","2","nee","verkoopt","200","ja","ja"
"Superyoga","superyoga.nl","Guido Wattel","eigenaar","GEVERIFIEERD","LinkedIn + eigen site","2","nee","verkoopt","200","ja","ja"
"Heinen Delfts Blauw","heinendelftsblauw.nl","Jorrit Heinen","directeur en eigenaar, derde generatie","GEVERIFIEERD","LinkedIn + eigen verhaalpagina","2","nee","verkoopt","200","ja","ja"
"Infento","infento.com","Rogier Groen","mede-oprichter","GEVERIFIEERD","LinkedIn + auteurspagina infento.com + handelsregister (Groen, R.)","3","nee","verkoopt","200","ja","ja"
"Voomy","voomy.com","Mitchell Drion","mede-oprichter","GEVERIFIEERD","LinkedIn + eigen over-voomy","2","nee","verkoopt","200","ja","ja"
"PeterPrint","peterprint.nl","Ferry Lammerts","eigenaar en oprichter","GEVERIFIEERD","eigen blog-auteurspagina + case TwoBirds Company","2","nee","verkoopt","200","ja","ja"
"Amacx Sports Nutrition","amacx.com","Gino Vierhouten","algemeen directeur","GEVERIFIEERD","Belgian Cycling + eigen nieuwsberichten","2","nee","verkoopt","200","ja","ja"
"Icetubs","icetubs.com","Chiel Kraai","oprichter en eigenaar","GEVERIFIEERD","JFK + Kijk op Noord-Holland","2","nee","verkoopt","200","ja","ja"
"Fine Dining & Living","finediningandliving.eu","Timo Keersmaekers","CEO","GEVERIFIEERD","LinkedIn + bestuurdersregister pappers.be (KETI, sinds 01-07-2011)","2","nee","verkoopt","200","ja","ja"
"Greetz","greetz.nl","Christine Ronteltap-van der Bent","Country Manager Nederland sinds juli 2024","GEVERIFIEERD","Marketing Report + eigen managementpagina","2","nee","LET OP: geen koopmogelijkheid gevonden","200","nee","ja"
"Foxelli Group","foxelli.com","Armantas Bakas","mede-oprichter, CEO en eigenaar","GEVERIFIEERD","Crunchbase + CB Insights","2","nee","verkoopt","200","ja","nee"
"Vedder & Vedder","vedder-vedder.nl","Anne Vedder","mede-oprichter en eigenaar","GEVERIFIEERD","MarketingTribune + Quote + RetailTrends","3","nee","verkoopt","200","ja","nee"
"Inktweb.nl","inktweb.nl","Marc van Raai","mede-oprichter","GEVERIFIEERD","about.me + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"Interieurwereld van de Belt","interieurwereld.nl","Bert Rossing","commercieel directeur","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","nee"
"MARC INBANE® Official","marcinbane.com","Bart Engel","oprichter en eigenaar","GEVERIFIEERD","eigen Facebook + over-ons","2","nee","verkoopt","200","ja","nee"
"Van Leersum Dranken","vanleersumdranken.nl","Tim van Leersum","directeur en eigenaar","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"Style Woerden","stylewoerden.nl","Robin Bodenstaff","mede-eigenaar","GEVERIFIEERD","RetailTrends + Twinkle","2","nee","verkoopt","200","ja","ja"
"the Store Woerden","thestorewoerden.nl","Rob Bodenstaff","eigenaar","GEVERIFIEERD","RetailTrends + Twinkle + KVK (VOF Bodenstaff en van Putten)","3","nee","verkoopt","200","ja","ja"
"Butik Alkmaar","butikalkmaar.nl","Angelique Schouten","oprichter en eigenaar","GEVERIFIEERD","Textilia + FashionUnited + eigen about-us","3","nee","verkoopt","200","ja","ja"
"Things I Like Things I Love","thingsilikethingsilove.com","Petra Verwaal","mede-eigenaar","GEVERIFIEERD","Textilia + LinkedIn + FashionUnited","3","nee","verkoopt","200","ja","ja"
"Equalite","equalite.nl","Gurhan Tuzemen","oprichter en CEO","GEVERIFIEERD","Rabobank + Textilia + FashionUnited","3","nee","verkoopt","200","ja","ja"
"Son of a Beach","sonofabeach.nl","Lukki Janssen","bedrijfsleider","GEVERIFIEERD","eigen impressum sonofabeach.nl + KVK-vermelding","2","nee","verkoopt","200","ja","ja"
"Mascolori","mascolori.nl","Jochem Grund","oprichter en eigenaar","GEVERIFIEERD","OPEN Rotterdam + RetailTrends + modeblog","3","nee","verkoopt","200","ja","ja"
"Feliz Shoes","felizshoes.com","Dorien de Herdt","ontwerper en oprichter","GEVERIFIEERD","Schoenvisie + eigen ons-verhaal","2","nee","verkoopt","200","ja","ja"
"Northgate Watches","northgatewatches.com","Willem Kamerman","ontwerper en eigenaar","GEVERIFIEERD","LinkedIn + Opklopper-case","2","nee","verkoopt","200","ja","ja"
"Bamboosa","bamboosa.nl","Adike van der Helm","ecommerce merchandise en brand manager","GEVERIFIEERD","casepagina Opklopper met citaat + eigen site","2","nee","verkoopt","200","ja","ja"
"Tenue Soleil","tenuesoleil.com","Daniel Kadouch","oprichter, dermatoloog","GEVERIFIEERD","LINDA + B Corp + Etos","3","nee","verkoopt","200","ja","ja"
"Nyn Vintage","nynvintage.com","Nynke Boonstra","oprichter","GEVERIFIEERD","COSH + eigen about-us","2","nee","verkoopt","200","ja","nee"
"Yama Food Shop","yamafoodshop.nl","Chih-Sung Ma","CEO, derde generatie","GEVERIFIEERD","eigen historie-pagina + LinkedIn","2","nee","verkoopt","200","ja","ja"
"Pure Kakaw","purekakaw.com","Erik Westerduin","mede-oprichter","GEVERIFIEERD","Ananda-blog + Microdosing-podcast + eigen about-us","3","nee","verkoopt","200","ja","ja"
"Coffee Factory","coffeefactory.nl","Ron Hagestein","eigenaar","GEVERIFIEERD","LinkedIn + interview 078MEDIA","2","nee","verkoopt","200","ja","ja"
"Fits4kids","fits4kids.store","David Branderhorst","eigenaar DR Commerce","GEVERIFIEERD","LinkedIn + Company.info","2","nee","verkoopt","200","ja","ja"
"Hang Eleven","hang-eleven.com","Rens van der Schoot","oprichter en creative director","GEVERIFIEERD","LinkedIn + Hanglos + eigen about-us","3","nee","verkoopt","200","ja","ja"
"Skor","skor.nl","Marcel Schorn","oprichter","GEVERIFIEERD","eigen historie-pagina + LinkedIn","2","nee","verkoopt","200","ja","ja"
"Dynamic Bike Care","dynamicbikecare.com","Rob Fleu","eigenaar en CEO","GEVERIFIEERD","LinkedIn + Bicycle Retailer juli 2024","2","ja","verkoopt","200","ja","ja"
"Frankly Amsterdam","frankly.amsterdam","Femke Derks","oprichter en eigenaar","GEVERIFIEERD","LinkedIn + VOS Design + MisterDesign","3","nee","verkoopt","200","ja","nee"
"Kas20","kas20.nl","Gijs van Nieuwmegen","oprichter","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"Studio Sif","studiosif.com","Saskia Jacobs","oprichter en ontwerper","GEVERIFIEERD","eigen pagina About Sif + studiosif.nl Ons verhaal","2","nee","verkoopt","200","ja","ja"
"Nasomatto","nasomatto.com","Alessandro Gualtieri","oprichter en parfumeur","GEVERIFIEERD","Wallpaper + Fragrantica + Osmetheca","3","nee","verkoopt","200","ja","ja"
"Jutkey","jutkey.nl","Gea Jutjens","eigenaar, tweede generatie","GEVERIFIEERD","eigen over-jutkey + LinkedIn 'Gea Jutjens - Owner, Jutkey Sleutel- en Slotentechniek'; nam over van haar vader Wim","3","nee","verkoopt","200","ja","ja"
"Rc Motorsports","rcmotorsports.nl","Robert van Ginhoven","eigenaar","GEVERIFIEERD","eigen over-ons + YouTube-reportage","2","nee","verkoopt","200","ja","ja"
"Baskèts","baskets-store.com","Matty J. M. Hofstede","oprichter","GEVERIFIEERD","eigen meet-the-brand + Amsterdam Magazine","2","nee","verkoopt","200","ja","ja"
"Dekbed discounter","dekbed-discounter.nl","Niels Verwij","oprichter en CEO","GEVERIFIEERD","Quote + Marketingfacts + Twinkle","3","nee","verkoopt","200","ja","ja"
"Diamond Point","diamondpoint.net","Sammy van Gelder","commercieel directeur","GEVERIFIEERD","Chapeau Magazine + eigen heritage-pagina","2","nee","verkoopt","200","ja","ja"
"Gisou","gisou.com","Negin Mirsalehi","mede-oprichter","GEVERIFIEERD","Forbes + Glossy + eigen story","3","nee","verkoopt","200","ja","ja"
"John Beerens","johnbeerens.com","John Beerens","oprichter en eigenaar","GEVERIFIEERD","eigen over-ons + The Org","2","nee","verkoopt","200","ja","ja"
"Mason Garments","masongarments.com","Rendi Aditia","oprichter en head of design","GEVERIFIEERD","eigen about-us + Facebook","2","nee","verkoopt","200","ja","ja"
"Natural High","surfshop.natural-high.nl","Jorgen Borsboom","mede-oprichter","GEVERIFIEERD","VisitGO + eigen about-us","2","nee","verkoopt","200","ja","ja"
"No excess","no-excess.com","Roel de Veer","oprichter en eigenaar","GEVERIFIEERD","FashionUnited + Vakblad Mannenmode","2","nee","verkoopt","200","ja","ja"
"NØORDCODE","noordcode.com","Eduard de Wilde","oprichter","GEVERIFIEERD","dewilde.com + eigen about-us + LinkedIn","3","nee","verkoopt","200","ja","ja"
"OGÉR","oger.nl","Martijn Lusink","CEO sinds 2018","GEVERIFIEERD","Wikipedia + MT/Sprout","2","nee","verkoopt","200","ja","ja"
"Olivia & Kate","oliviakate.nl","Janina Pakasi","oprichter en eigenaar","GEVERIFIEERD","LinkedIn + Webhelden + Drimble","3","nee","verkoopt","200","ja","ja"
"REV’IT!","revitsport.com","Ivan Vos","oprichter en CEO","GEVERIFIEERD","Nyenrode + Consultancy.nl","2","nee","verkoopt","200","ja","ja"
"STËLZ","drinkstelz.com","Milan Voet","oprichter","GEVERIFIEERD","Quote + MT/Sprout + Wikipedia","3","nee","verkoopt","200","ja","nee"
"Stoov","nl.stoov.com","Niek Veendrick","CEO","GEVERIFIEERD","Change Inc + MT/Sprout","2","nee","verkoopt","200","ja","ja"
"Tirisi","tirisi.com","Natascha Rotstein-Zuchouwski","eigenaar","GEVERIFIEERD","Ha Juweliers + merkpagina's","2","nee","verkoopt","200","ja","ja"
"ACAZA","acaza.nl","Bruno De Clerck","zaakvoerder en eigenaar","GEVERIFIEERD","KBO/pappers.be gedelegeerd bestuurder 14-11-2022 + Crunchbase","2","nee","verkoopt","200","ja","ja"
"Bambaw","nl.bambaw.com","Max de Hemptinne","mede-oprichter","GEVERIFIEERD","hub.brussels bedrijfsportret + LinkedIn 'Maxime de Hemptinne - Co-founder and Chief Waste Warrior' + eigen site 'de tweelingbroers Max en Augustin'","3","nee","verkoopt","200","ja","ja"
"De Troubadour Interieurs","detroubadour.nl","Alex de Boggende","directeur operations","GEVERIFIEERD","LinkedIn + RocketReach","2","nee","verkoopt","200","ja","ja"
"Dreambaby","dreambaby.com","Bavo Vanhalst","CEO van de groep","GEVERIFIEERD","De Rijkste Belgen + eigen nieuws","2","nee","verkoopt","200","ja","ja"
"FitnessKing","fitnessking.be","Sam Meert","executive manager","GEVERIFIEERD","LinkedIn be + bedrijfspagina Fitnessking","2","nee","verkoopt","200","ja","ja"
"GIMBER","gimber.com","Dimitri Oosterlynck","oprichter","GEVERIFIEERD","Gault&Millau + Club Soda + eigen site","3","nee","verkoopt","200","ja","ja"
"HappyBed","thehappybed.com","Willem van den Eertwegh","mede-oprichter en eigenaar","GEVERIFIEERD","Wonen360 + BNR + eigen over-ons","3","nee","verkoopt","200","ja","ja"
"HUB Footwear","hubfootwear.com","Huub van Boeckel","oprichter","GEVERIFIEERD","eigen site + Schuurman + Sneakers.nl","3","nee","verkoopt","200","ja","ja"
"Local Taste","local-taste.nl","Thom van den Bossche","mede-oprichter","GEVERIFIEERD","voordekunst-project + City Webshop Breda + bol.com kookboek","3","nee","verkoopt","200","ja","ja"
"Maatkasten Online","maatkastenonline.nl","Loic Van Laeken","mede-oprichter","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"RINSMA MODEPLEIN","rinsmamodeplein.nl","Henk-Jan IJtsma","algemeen directeur","GEVERIFIEERD","RetailTrends + eigen team-pagina","2","nee","verkoopt","200","ja","ja"
"Rubio Monocoat","rubiomonocoat.nl","Benoit Muylle","CEO","GEVERIFIEERD","Eurabo + Ampliz + EverybodyWiki","3","nee","verkoopt","200","ja","ja"
"Smart Toys and Games","smarttoysandgames.com","Rolf Vandoren","mede-oprichter en CEO","GEVERIFIEERD","Wikipedia + eigen ons-verhaal","2","nee","verkoopt","200","ja","nee"
"Xpozer","xpozer.com","Clemens van Os","CEO en mede-oprichter","GEVERIFIEERD","LinkedIn + Caballero Fabriek","2","nee","verkoopt","200","ja","ja"
"Reypenaer","reypenaer.nl","Rien van den Wijngaard","algemeen directeur","GEVERIFIEERD","Wijngaard Kaas + Wikipedia","2","nee","verkoopt","200","ja","nee"
"Wolk Airbag","wolkairbag.com","Mark Berkhout","CEO sinds 1 september 2026","GEVERIFIEERD","eigen nieuwsbericht + team-pagina","2","nee","verkoopt","200","ja","nee"
"Suitical","suitical.com","Melvin Kok","managing director","GEVERIFIEERD","LinkedIn + GlobalPETS-profiel","2","nee","verkoopt","200","ja","ja"
"Loop Earplugs","loopearplugs.com","Dimitri O","mede-oprichter en CEO","GEVERIFIEERD","LinkedIn + eigen press corner + Forbes","3","nee","verkoopt","200","ja","ja"
"Protest","protest.eu","Wesley van Wijnbergen","managing director","GEVERIFIEERD","FashionUnited jan 2022 + Boardsport SOURCE, nog in functie juni 2026","2","ja","onbekend, met de hand nakijken","403","","ja"
"Lampenlicht","lampenlicht.nl","Ard Huisert","CEO","GEVERIFIEERD","Emerce + Business Insider","2","nee","onbekend, met de hand nakijken","403","","nee"
"Tegeldepot","tegeldepot.nl","Chahid Charrak","directeur","GEVERIFIEERD","Twinkle + LinkedIn + eigen over-ons","3","nee","onbekend, met de hand nakijken","403","","ja"
"Anna Diva","annadiva.nl","Marielle van Werven","oprichter","GEVERIFIEERD","FashionUnited + RetailTrends + BIF","3","nee","LET OP: geen koopmogelijkheid gevonden","200","nee","ja"
"Swiss Sense","swisssense.nl","Martin Diks","CEO sinds 2017, vierde generatie","GEVERIFIEERD","Wikipedia + Quote + Wonen360","3","nee","verkoopt","200","ja","ja"
"Multivlaai","multivlaai.nl","Marco Vink","operationeel directeur","GEVERIFIEERD","Nationale Franchise Gids + NFV","2","nee","verkoopt","200","ja","ja"
"BERG Toys","berg.com","Henk van den Berg","oprichter en eigenaar","GEVERIFIEERD","SYNC + EdeStad","2","nee","verkoopt","200","ja","nee"
"McAlson","mcalson.com","Pierre Deren","oprichter","GEVERIFIEERD","eigen merkpagina + Luxury for Men","2","nee","verkoopt","200","ja","ja"
"Goedhart Motoren","goedhartmotoren.nl","Joost Goedhart","directie en webshop","GEVERIFIEERD","Rebonieuws + Kijk op BR + eigen over-ons","3","nee","verkoopt","200","ja","ja"
"Aardbeiplantje","aardbeiplantje.nl","Joost Henselmans","eigenaar","GEVERIFIEERD","eigen over-ons + Trustpilot-profiel + Firma Henselmans","3","nee","verkoopt","200","ja","nee"
"Pink Gellac","pinkgellac.com","Thera Strietman","CEO","GEVERIFIEERD","MT/Sprout + Top of Minds + Vendis Capital","3","nee","verkoopt","200","ja","ja"
"Zens","zens.tech","Johan Plasmans","CEO en mede-oprichter","GEVERIFIEERD","MT/Sprout Challenger50 + IO+ awards","2","nee","verkoopt","200","ja","ja"
"Magnetic Nail Design","magneticnaildesign.com","Mey Liang","oprichter","GEVERIFIEERD","eigen pagina over-magnetic + Scratch Magazine 'Behind the Brand: Magnetic Nail Design'","2","nee","verkoopt","200","ja","nee"
"Dutchies","dutchies.com","Anne de Korte","oprichter","GEVERIFIEERD","Emerce-interview + Andy Vinkenborg + eigen our-story","3","nee","verkoopt","200","ja","ja"
"Pylos 59","pylos59.eu","Monic Besemer","mede-oprichter","GEVERIFIEERD","casepagina Opklopper + Van Os tassen + eigen merkverhaal","3","nee","verkoopt","200","ja","nee"
"Rum Baba","rumbaba.nl","Lusan Drost","mede-eigenaar","GEVERIFIEERD","Sprudge + Mister Barish + handelsregister (Drost, M.)","3","nee","verkoopt","200","ja","nee"
"Kunstgrasnet","kunstgrasnet.nl","Arthur Voorhuis","CEO","GEVERIFIEERD","eigen over-ons + Stagemarkt-profiel Floornet BV","2","nee","verkoopt","200","ja","ja"
"Tuinmeubelshop","tuinmeubelshop.nl","Gerrit van der Garde","mede-oprichter","GEVERIFIEERD","RetailTrends + LinkedIn + eigen geschiedenispagina","3","nee","verkoopt","200","ja","ja"
"We Love The Planet","welovetheplanet.com","Eva Klomp","oprichter","GEVERIFIEERD","Ecolive + Natuurlijk Zuiver + LinkedIn","3","nee","verkoopt","200","ja","ja"
"Dutch Soap Company","dutchsoapcompany.com","Dorianne Kalverboer-Clouvel","oprichter en eigenaar","GEVERIFIEERD","Op Schouwen-Duiveland-verhaal + eigen wie-zijn-wij","2","nee","verkoopt","200","ja","ja"
"Drent & van Dijk Shop","drentenvandijkshop.nl","Martin van Dijk","eigenaar","GEVERIFIEERD","RTV NOF-reportage + Stagemarkt + eigen over-ons","3","nee","verkoopt","200","ja","ja"
"Dehangmat.nl","dehangmat.nl","Kees van Dijk","eigenaar","GEVERIFIEERD","Regio Hardenberg-portret over Tropilex + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"zilver.nl","zilver.nl","Michel de Jonge","eigenaar","GEVERIFIEERD","eigen over-ons + eigen blog over de winkel","2","nee","verkoopt","200","ja","ja"
"Motorkledingstore.nl","motorkledingstore.nl","Frans Overberg","oprichter","GEVERIFIEERD","MotoPlus-portret + handelsregister","2","nee","verkoopt","200","ja","ja"
"Heuts.nl","heuts.nl","Jeroen van Uden","eigenaar","GEVERIFIEERD","Twinkle april 2025 over de overname + Toppy","2","ja","verkoopt","200","ja","ja"
"Letsleds","letsleds.nl","Jens van den Wijngaard","algemeen directeur","GEVERIFIEERD","Festilent-portret + handelsregister + LinkedIn","3","nee","verkoopt","200","ja","ja"
"123 3D B.V.","123-3d.nl","Gerben Kreuning","directeur","GEVERIFIEERD","Emerce + Twinkle-coverinterview + Wikipedia 123inkt","3","nee","verkoopt","200","ja","nee"
"Jeroen Beekman Mode","jeroenbeekman.nl","Jeroen Beekman","eigenaar","GEVERIFIEERD","LinkedIn + Brugnieuws over de webshop + eigen over-ons","3","nee","verkoopt","200","ja","ja"
"Diveoutlet","diveoutlet.nl","Cees Langmuur","eigenaar","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"Topbloemen.nl","topbloemen.nl","Jasper Jolink","CEO","GEVERIFIEERD","persbericht Topgeschenken aug 2026 over Hoorn Bloommasters + Twinkle-portret","2","ja","verkoopt","200","ja","ja"
"Spierings Herenmode","spieringsherenmode.nl","Pim van den Berg","mede-eigenaar","GEVERIFIEERD","De Heemsteder + Leiderdorps Weekblad + handelsregister","3","nee","verkoopt","200","ja","ja"
"De Bouwhof","bouwhof.nl","Jan Bart Huurman","algemeen directeur","GEVERIFIEERD","Interior Business-portret + LinkedIn + Bunt Groep-klantverhaal","3","nee","verkoopt","200","ja","ja"
"Forza Refurbished","forza-refurbished.nl","Rogier Schuurmans","eigenaar en algemeen directeur","GEVERIFIEERD","TBM-interview over de overname + handelsregister","2","nee","verkoopt","200","ja","ja"
"ZINZI","zinzi.nl","Martijn van der Velden","mede-oprichter","GEVERIFIEERD","eigen over-ons + Zilver.nl-blog + Trendjuwelier","3","nee","verkoopt","200","ja","ja"
"Decorazzi","decorazzi.com","Jerome de Groot","mede-oprichter","GEVERIFIEERD","eigen pagina over-decorazzi + LinkedIn 'Jerome de Groot - Decorazzi.com'","2","nee","verkoopt","200","ja","nee"
"Dekbedden.nl","dekbedden.nl","Niels Verwij","oprichter","GEVERIFIEERD","Emerce + Twinkle + Quote + Marketingfacts","4","nee","verkoopt","200","ja","ja"
"Probeauty","probeauty.nl","Joey Rutjes","eigenaar","GEVERIFIEERD","LinkedIn-bedrijfspagina + RocketReach-profiel","2","nee","LET OP: geen koopmogelijkheid gevonden","200","nee","ja"
"Schulte Herenmode","schulteherenmode.nl","Mark van den Berg","directeur","GEVERIFIEERD","LinkedIn + De Heemsteder + Leiderdorps Weekblad","3","nee","verkoopt","200","ja","ja"
"Bold Monkey","boldmonkey.com","Richard Halberstadt","eigenaar Zuiver Interior Group","GEVERIFIEERD","Wonen360 + Interior Business + Thuiswinkel-profiel","3","nee","verkoopt","200","ja","ja"
"GewoonGers","gewoongers.nl","Ton Vergunst","oprichter en eigenaar","GEVERIFIEERD","eigen over-gewoongers + case Van Ons + Satelliet-blog","3","nee","verkoopt","200","ja","ja"
"Olfit.nl","olfit.nl","Roan Oldekamp","eigenaar","GEVERIFIEERD","eigen bedrijfsgegevens + Excelsior Rotterdam-partnerbericht","2","nee","LET OP: geen koopmogelijkheid gevonden","200","nee","ja"
"Rene Houtman Interieurs B.V.","renehoutman.nl","Rene Houtman","eigenaar","GEVERIFIEERD","eigen teampagina + Ondernemen in Hardenberg","2","nee","verkoopt","200","ja","nee"
"Partydeco.nl","partydeco.nl","Tineke Meeder-Rosbergen","oprichter en CEO","GEVERIFIEERD","eigen over-ons + RealReviews + LinkedIn","3","nee","verkoopt","200","ja","ja"
"Cupido.nl","cupido.nl","Mirthe van Kasteel","eigenaresse","GEVERIFIEERD","LinkedIn + handelsregister (Cupido B.V. onder Miss Steel B.V.)","2","nee","verkoopt","200","ja","ja"
"Boeketcadeau.nl","boeketcadeau.nl","Carolien Heijn","mede-eigenaar","GEVERIFIEERD","LinkedIn + eigen teampagina","2","nee","verkoopt","200","ja","ja"
"Ledlichtdiscounter.nl","ledlichtdiscounter.nl","Michael Castricum","eigenaar","GEVERIFIEERD","Picqer-case + Almere Zaken + LinkedIn Anthony Lam als mede-oprichter","3","nee","verkoopt","200","ja","ja"
"Tadaaz","tadaaz.nl","Jan Jonckheere","CEO","GEVERIFIEERD","eigen over-ons + Thuiswinkel-ledenprofiel","2","nee","verkoopt","200","ja","ja"
"Rozenkwekerij de wilde","dewilde.nl","Steven van Dalen","eigenaar","GEVERIFIEERD","eigen over-ons + Boom in Business","2","nee","verkoopt","200","ja","ja"
"Bestekshop.nl","bestekshop.nl","Bart van Schie","eigenaar","GEVERIFIEERD","LinkedIn + eigen over-ons","2","nee","verkoopt","200","ja","ja"
"Buitengoed.nl","buitengoed.nl","Lars Kuhlkamp","eigenaar","GEVERIFIEERD","LinkedIn + Losser Nieuws + eigen over-ons","3","nee","onbekend, met de hand nakijken","403","","nee"
"Koffiecentrale.nl","koffiecentrale.nl","Ben Wijnhoven","eigenaar","GEVERIFIEERD","LinkedIn + Re:Shark-profiel + eigen over-ons","3","nee","verkoopt","200","ja","ja"
"De Online ParketShop","onlineparketshop.nl","Patrick Kuckelkorn","eigenaar","GEVERIFIEERD","LinkedIn + woninginrichtingen.nu","2","nee","verkoopt","200","ja","ja"
"Rolgordijn.com","rolgordijn.com","Henk Wouters","oprichter","GEVERIFIEERD","eigen over-ons-team + hewo.nl","2","nee","verkoopt","200","ja","ja"
"Yoek","yoek.nl","Joke Timmer","oprichter en eigenaar","GEVERIFIEERD","Textilia-interview + eigen site","2","nee","verkoopt","200","ja","ja"
